rank,2023 RANK,Institution_name,location_QS,SIZE,FOCUS,RESEARCH,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,scores_overall_QS,Rank,scores_overall_THE,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location_THE,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,Country
64.0,85.0,University of Illinois at Urbana-Champaign,United States,XL,FC,VH,5.0,A,85.0,54.0,70.8,100.0,7.5,701.0,86.5,86.0,11.1,701.0,49.2,303.0,76.4,164.0,66.0,84.0,83.5,128.0,69.1,42.0,77.9,420.0,69.5,45.0,81.5,31.0,85.2,206.0,85.3,206.0,64.0,502.0,United States,50250,19.6,23,0.888888889,United States
69.0,77.0,National Taiwan University (NTU),Taiwan,XL,FC,VH,4.0,A,92.8,39.0,91.3,46.0,30.9,508.0,47.0,288.0,17.7,619.0,20.0,547.0,33.2,431.0,99.7,12.0,95.6,49.0,67.9,152.0,61.9,1530.0,57.3,88.0,54.8,113.0,70.8,544.0,99.9,33.0,51.2,766.0,Taiwan,24744,11.1,13,0.888888889,Taiwan
70.0,54.0,City University of Hong Kong,Hong Kong SAR,M,CO,VH,3.0,A,59.6,122.0,27.3,356.0,86.6,99.0,99.9,9.0,100.0,17.0,100.0,2.0,17.4,570.0,29.5,269.0,82.1,136.0,67.7,82.0,69.3,820.0,52.2,116.0,52.4,124.0,91.1,105.0,100.0,4.0,98.7,2.0,Hong Kong,9076,13.2,67,0.888888889,Hong Kong SAR
71.0,69.0,Université Paris-Saclay,France,XL,CO,VH,1.0,A,58.9,128.0,99.1,13.0,99.8,25.0,45.8,294.0,39.1,416.0,60.8,244.0,98.7,17.0,34.3,224.0,73.6,182.0,67.6,58.0,74.4,580.0,70.9,40.0,66.1,63.0,82.4,277.0,92.4,140.0,78.6,276.0,France,31662,13.0,24,0.888888889,France
72.0,90.0,The University of Western Australia,Australia,L,FC,VH,5.0,A,56.2,138.0,44.6,200.0,16.5,701.0,98.9,23.0,100.0,29.0,99.8,34.0,90.0,83.0,66.0,82.0,70.1,204.0,66.9,143.0,62.7,1440.0,37.7,368.0,48.6,152.0,88.7,144.0,97.2,94.0,93.5,74.0,Australia,19382,22.4,26,0.888888889,Australia
73.0,63.0,Brown University,United States,M,FC,VH,5.0,B,58.3,131.0,42.4,221.0,77.8,145.0,85.9,89.0,84.5,212.0,52.0,279.0,58.3,258.0,74.8,59.0,70.4,201.0,66.4,64.0,73.0,640.0,69.8,43.0,59.6,87.0,89.7,130.0,69.3,449.0,72.1,374.0,United States,9781,10.3,19,0.888888889,United States
75.0,86.0,University of Leeds,United Kingdom,XL,FC,VH,5.0,A,70.3,89.0,76.7,77.0,37.3,421.0,42.3,320.0,85.2,208.0,90.0,118.0,98.7,16.0,37.8,193.0,90.9,88.0,65.5,129.0,63.9,1290.0,46.1,187.0,49.1,150.0,87.3,167.0,68.8,458.0,94.6,57.0,United Kingdom,33450,14.4,32,0.888888889,United Kingdom
76.0,81.0,University of Glasgow,United Kingdom,XL,FC,VH,5.0,A,76.3,77.0,70.7,101.0,41.7,377.0,31.8,423.0,96.0,143.0,99.5,41.0,90.0,80.0,26.7,306.0,99.5,11.0,65.2,87.0,68.2,870.0,48.1,157.0,51.8,128.0,96.8,32.0,69.7,438.0,96.1,30.0,United Kingdom,32270,14.4,43,0.888888889,United Kingdom
78.0,92.0,Durham University,United Kingdom,L,FC,VH,5.0,A,59.5,124.0,89.3,50.0,27.8,548.0,53.3,241.0,97.5,125.0,86.9,135.0,86.2,108.0,29.2,274.0,97.6,30.0,65.1,174.0,60.6,1740.0,43.5,231.0,44.5,194.0,83.5,245.0,65.6,534.0,95.8,32.0,United Kingdom,19575,14.0,32,0.888888889,United Kingdom
79.0,74.0,Korea University,South Korea,L,FC,VH,4.0,B,82.2,64.0,94.0,40.0,81.0,137.0,36.6,382.0,13.6,694.0,36.3,370.0,19.6,546.0,70.6,71.0,58.6,255.0,64.7,155.0,66.3,2190.0,48.6,150.0,46.6,173.0,72.0,507.0,99.7,47.0,62.5,533.0,South Korea,22324,16.3,31,0.888888889,South Korea
