rank,clean_rank,name,location,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,KPI_Global_Ranking_Score,KPI_Research_Impact_Score,KPI_Faculty_To_Student_Ratio,KPI_International_Student_Pct,KPI_Academic_Reputation_Score,KPI_Research_Productivity_Index,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
1201â€“1500,1201.0,IPB University,Indonesia,QS World University Rankings 2026,23070.0,6.8,16.2,18.44,0.1471,3.0,30.9,19.25,16.2,30.9,9.8,24.2,39.2,45.0
1201â€“1500,1201.0,I-Shou University,Taiwan,QS World University Rankings 2026,11567.0,27.9,25.5,25.16,0.0358,15.0,15.0,30.6,25.5,15.0,21.2,27.8,68.5,44.2
1201â€“1500,1201.0,Istanbul Bilgi University,Turkey,QS World University Rankings 2026,10484.0,16.0,16.2,30.24,0.0625,14.0,18.7,23.2,16.2,18.7,11.7,42.6,16.3,62.8
1201â€“1500,1201.0,Istanbul Medeniyet University,Turkey,QS World University Rankings 2026,15254.0,18.7,16.2,38.82,0.0535,2.0,14.5,28.58,16.2,14.5,11.7,56.9,18.8,25.9
1201â€“1500,1201.0,Ivan Franko National University of Lviv,Ukraine,QS World University Rankings 2026,19799.0,10.7,25.5,10.2,0.0935,2.0,24.5,11.43,25.5,24.5,10.5,10.0,17.9,31.7
1201â€“1500,1201.0,Izmir Institute of Technology,Turkey,QS World University Rankings 2026,6309.0,18.6,16.2,22.72,0.0538,3.0,20.2,25.79,16.2,20.2,15.1,27.8,56.7,35.5
1201â€“1500,1201.0,Jeju National University,"Korea, South",QS World University Rankings 2026,11376.0,17.2,43.6,28.68,0.0581,6.0,27.4,27.58,43.6,27.4,19.2,35.0,38.2,31.2
1201â€“1500,1201.0,Jiangsu Normal University,China,QS World University Rankings 2026,25759.0,15.0,43.6,33.42,0.0667,2.0,16.3,26.52,43.6,16.3,12.9,47.1,23.9,27.4
1201â€“1500,1201.0,The Jikei University School of Medicine,Japan,QS World University Rankings 2026,1095.0,0.9,25.5,28.62,1.1111,0.0,30.1,25.96,25.5,30.1,10.8,40.5,42.6,19.7
1201â€“1500,1201.0,The John Paul II Catholic University of Lublin,Poland,QS World University Rankings 2026,9173.0,9.6,25.5,26.78,0.1042,9.0,27.7,22.22,25.5,27.7,14.3,35.1,18.6,34.0
1201â€“1500,1201.0,Kagawa University,Japan,QS World University Rankings 2026,6309.0,9.6,25.5,21.6,0.1042,2.0,25.7,24.16,25.5,25.7,12.9,27.4,54.1,31.9
1201â€“1500,1201.0,Kagoshima University,Japan,QS World University Rankings 2026,10257.0,10.1,25.5,19.8,0.099,3.0,25.7,23.43,25.5,25.7,13.5,24.0,55.2,27.7
1201â€“1500,1201.0,Kangwon National University,"Korea, South",QS World University Rankings 2026,21920.0,21.6,43.6,28.2,0.0463,3.0,22.0,29.4,43.6,22.0,21.9,32.4,47.4,24.1
1201â€“1500,1201.0,KarabÃ¼k University,Turkey,QS World University Rankings 2026,47709.0,42.4,16.2,38.08,0.0236,24.0,12.6,27.14,16.2,12.6,9.4,57.2,16.1,48.2
1201â€“1500,1201.0,Karunya Institute of Technology and Sciences,India,QS World University Rankings 2026,7659.0,16.5,30.45,34.4,0.0606,0.0,18.7,26.43,30.450000000000003,18.7,13.4,48.4,18.6,23.2
1201â€“1500,1201.0,Kaunas University of Technology,Lithuania,QS World University Rankings 2026,7986.0,13.3,25.5,29.52,0.0752,8.0,22.2,26.83,25.5,22.2,15.3,39.0,36.9,39.2
1201â€“1500,1201.0,Kharazmi University,Iran,QS World University Rankings 2026,12604.0,16.8,30.45,27.84,0.0595,3.0,32.7,23.67,30.450000000000003,32.7,13.8,37.2,25.0,29.5
1201â€“1500,1201.0,Kharkiv Aviation Institute,Ukraine,QS World University Rankings 2026,5654.0,12.0,25.5,30.38,0.0833,12.0,20.6,22.64,25.5,20.6,9.2,44.5,16.4,32.6
1201â€“1500,1201.0,Khon Kaen University,Thailand,QS World University Rankings 2026,32895.0,17.2,25.5,27.58,0.0581,2.0,23.3,25.69,25.5,23.3,15.7,35.5,36.1,35.4
1201â€“1500,1201.0,Khulna University,Bangladesh,QS World University Rankings 2026,6997.0,13.9,30.45,31.94,0.0719,0.0,17.0,23.73,30.450000000000003,17.0,9.5,46.9,17.1,43.7
1201â€“1500,1201.0,King Mongkut's University of Technology North Bangkok,Thailand,QS World University Rankings 2026,28122.0,23.3,25.5,35.62,0.0429,0.0,16.2,28.05,25.5,16.2,12.7,50.9,25.9,28.7
1201â€“1500,1201.0,Kitasato University,Japan,QS World University Rankings 2026,8628.0,5.2,25.5,21.88,0.1923,0.0,27.0,24.3,25.5,27.0,11.5,28.8,56.5,20.0
1201â€“1500,1201.0,KL University,India,QS World University Rankings 2026,17602.0,14.6,30.45,35.64,0.0685,2.0,22.4,26.24,30.450000000000003,22.4,11.1,52.0,16.6,21.5
1201â€“1500,1201.0,Kyoto Institute of Technology,Japan,QS World University Rankings 2026,3943.0,13.8,25.5,15.96,0.0725,6.0,27.2,24.86,25.5,27.2,17.1,15.2,73.3,33.7
1201â€“1500,1201.0,Kyushu Institute of Technology (Kyutech),Japan,QS World University Rankings 2026,5628.0,16.0,25.5,25.08,0.0625,5.0,26.3,27.84,25.5,26.3,15.6,31.4,60.3,40.8
1201â€“1500,1201.0,University of Lethbridge,Canada,QS World University Rankings 2026,7181.0,13.4,54.45,24.36,0.0746,12.0,20.3,23.16,54.45,20.3,14.1,31.2,34.6,61.4
1201â€“1500,1201.0,Lodz University of Technology,Poland,QS World University Rankings 2026,11706.0,13.1,25.5,26.92,0.0763,5.0,21.2,29.92,25.5,21.2,15.7,34.4,66.9,29.8
1201â€“1500,1201.0,Universidad Loyola,Spain,QS World University Rankings 2026,3481.0,12.1,34.8,28.72,0.0826,4.0,23.2,22.82,34.8,23.2,13.0,39.2,17.3,48.8
1201â€“1500,1201.0,"LumiÃ¨re University, Lyon 2",France,QS World University Rankings 2026,26014.0,50.4,43.6,22.38,0.0198,18.0,24.6,22.94,43.6,24.6,18.6,24.9,32.8,67.5
1201â€“1500,1201.0,Universidade LusÃ³fona,Portugal,QS World University Rankings 2026,11153.0,6.4,39.4,24.86,0.1562,18.0,23.2,19.47,39.4,23.2,8.6,35.7,17.8,59.7
1201â€“1500,1201.0,Universiti Malaysia Perlis,Malaysia,QS World University Rankings 2026,10836.0,13.6,30.45,32.6,0.0735,3.0,21.6,26.25,30.450000000000003,21.6,12.5,46.0,26.0,33.3
1201â€“1500,1201.0,Manipal University Jaipur,India,QS World University Rankings 2026,8361.0,14.9,30.45,36.82,0.0671,3.0,19.5,28.85,30.450000000000003,19.5,14.2,51.9,23.9,24.0
1201â€“1500,1201.0,University of Manouba,Tunisia,QS World University Rankings 2026,17175.0,14.5,25.5,30.2,0.069,2.0,21.8,22.98,25.5,21.8,9.2,44.2,19.4,45.8
1201â€“1500,1201.0,University of Maribor,Slovenia,QS World University Rankings 2026,12919.0,14.4,25.5,31.24,0.0694,11.0,20.1,28.2,25.5,20.1,16.9,40.8,36.5,38.9
1201â€“1500,1201.0,University of Marrakech Cadi Ayyad,Morocco,QS World University Rankings 2026,115156.0,45.9,16.2,26.5,0.0218,1.0,20.5,21.76,16.2,20.5,11.5,36.5,21.6,40.2
1201â€“1500,1201.0,University of Mauritius,Mauritius,QS World University Rankings 2026,8167.0,22.8,25.5,32.54,0.0439,1.0,17.6,28.6,25.5,17.6,13.4,45.3,40.3,35.4
1201â€“1500,1201.0,Medical University of Lublin,Poland,QS World University Rankings 2026,6884.0,5.7,25.5,23.22,0.1754,16.0,30.5,22.24,25.5,30.5,12.3,30.5,36.1,36.8
1201â€“1500,1201.0,Medical University of Silesia in Katowice,Poland,QS World University Rankings 2026,10237.0,7.3,25.5,23.62,0.137,5.0,28.1,21.44,25.5,28.1,12.4,31.1,29.0,24.7
1201â€“1500,1201.0,Medical University of Sofia,Bulgaria,QS World University Rankings 2026,10849.0,5.7,16.2,22.14,0.1754,44.0,30.8,23.84,16.2,30.8,13.5,27.9,48.8,53.9
1201â€“1500,1201.0,University of Medicine and Pharmacy of Craiova,Romania,QS World University Rankings 2026,4298.0,9.8,25.5,26.28,0.102,14.0,24.3,20.85,25.5,24.3,9.9,37.2,19.2,40.5
1201â€“1500,1201.0,Mendel University in Brno,Czech Republic,QS World University Rankings 2026,9019.0,16.3,25.5,29.84,0.0613,17.0,20.9,25.73,25.5,20.9,19.4,36.8,21.0,55.1
1201â€“1500,1201.0,Metropolitan Autonomous University,Mexico,QS World University Rankings 2026,60865.0,42.1,16.2,23.24,0.0238,1.0,19.9,24.22,16.2,19.9,23.9,22.8,28.6,29.2
1201â€“1500,1201.0,Mie University,Japan,QS World University Rankings 2026,6983.0,8.3,25.5,19.9,0.1205,3.0,26.9,24.58,25.5,26.9,13.9,23.9,61.8,24.8
1201â€“1500,1201.0,Mohammed V University of Rabat,Morocco,QS World University Rankings 2026,87462.0,41.7,16.2,25.32,0.024,3.0,29.1,24.36,16.2,29.1,15.0,32.2,37.3,32.1
1201â€“1500,1201.0,University of Monastir,Tunisia,QS World University Rankings 2026,18846.0,8.5,25.5,25.76,0.1176,2.0,25.7,21.94,25.5,25.7,10.1,36.2,28.1,46.0
1201â€“1500,1201.0,Morgan State University,United States,QS World University Rankings 2026,6973.0,14.6,57.25,22.56,0.0685,7.0,22.8,20.82,57.25,22.8,12.6,29.2,28.7,56.3
1201â€“1500,1201.0,Moscow Aviation Institute,Russia,QS World University Rankings 2026,15468.0,12.8,16.2,21.6,0.0781,12.0,32.9,23.73,16.2,32.9,14.4,26.4,48.6,31.9
1201â€“1500,1201.0,Moscow Power Engineering Institute,Russia,QS World University Rankings 2026,14248.0,20.7,16.2,19.56,0.0483,14.0,23.6,24.0,16.2,23.6,18.3,20.4,51.4,39.9
1201â€“1500,1201.0,Multimedia University,Malaysia,QS World University Rankings 2026,8893.0,16.3,30.45,22.6,0.0613,9.0,19.5,25.98,30.450000000000003,19.5,13.0,29.0,62.2,41.2
1201â€“1500,1201.0,Mutah University,Jordan,QS World University Rankings 2026,11348.0,15.5,25.5,21.16,0.0645,18.0,29.7,18.55,25.5,29.7,11.5,27.6,20.9,61.2
1201â€“1500,1201.0,Nagaoka University of Technology,Japan,QS World University Rankings 2026,2127.0,10.2,25.5,18.5,0.098,12.0,34.3,24.48,25.5,34.3,16.4,19.9,62.1,43.2
1201â€“1500,1201.0,Nagasaki University,Japan,QS World University Rankings 2026,8782.0,6.7,25.5,23.02,0.1493,5.0,29.4,24.64,25.5,29.4,14.8,28.5,48.4,40.3
1201â€“1500,1201.0,Nagoya Institute of Technology,Japan,QS World University Rankings 2026,5760.0,16.1,25.5,21.92,0.0621,5.0,21.5,29.18,25.5,21.5,20.3,23.0,73.2,31.4
1201â€“1500,1201.0,University of Nairobi,Kenya,QS World University Rankings 2026,52678.0,34.5,25.5,31.78,0.029,2.0,12.0,24.18,25.5,12.0,10.6,45.9,18.8,49.8
1201â€“1500,1201.0,University of Namibia,Namibia,QS World University Rankings 2026,28916.0,21.6,25.5,34.22,0.0463,3.0,13.1,24.62,25.5,13.1,8.6,51.3,15.8,62.8
1201â€“1500,1201.0,National Changhua University of Education,Taiwan,QS World University Rankings 2026,8459.0,15.0,25.5,19.48,0.0667,8.0,22.2,27.28,25.5,22.2,17.8,20.6,74.5,28.8
1201â€“1500,1201.0,National Chin-Yi University of Technology,Taiwan,QS World University Rankings 2026,7618.0,22.7,25.5,26.48,0.0441,6.0,13.9,28.46,25.5,13.9,25.1,27.4,42.1,28.7
1201â€“1500,1201.0,National Chung Cheng University,Taiwan,QS World University Rankings 2026,8748.0,15.6,25.5,23.88,0.0641,4.0,23.5,30.79,25.5,23.5,22.2,25.0,72.9,26.5
1201â€“1500,1201.0,National University of Colombia,Colombia,QS World University Rankings 2026,56586.0,22.0,16.2,27.7,0.0455,1.0,19.7,25.32,16.2,19.7,13.6,37.1,36.9,41.1
1201â€“1500,1201.0,National University of Distance Education (UNED),Spain,QS World University Rankings 2026,80478.0,67.5,34.8,30.24,0.0148,4.0,24.9,28.05,34.8,24.9,18.9,37.8,35.8,31.0
1201â€“1500,1201.0,National Dong Hwa University,Taiwan,QS World University Rankings 2026,9970.0,18.6,25.5,25.3,0.0538,9.0,19.1,26.13,25.5,19.1,23.8,26.3,33.5,48.6
1201â€“1500,1201.0,National Institute of Technology Srinagar,India,QS World University Rankings 2026,3820.0,15.9,30.45,31.7,0.0629,0.0,23.1,23.85,30.450000000000003,23.1,10.7,45.7,16.7,19.8
1201â€“1500,1201.0,National Kaohsiung University of Science and Technology,Taiwan,QS World University Rankings 2026,28128.0,33.1,25.5,29.12,0.0302,3.0,15.2,31.64,25.5,15.2,20.3,35.0,61.6,26.8
1201â€“1500,1201.0,National Research University of Electronic Technology (MIET),Russia,QS World University Rankings 2026,5032.0,9.5,16.2,12.38,0.1053,7.0,43.8,18.73,16.2,43.8,14.9,10.7,50.2,25.5
1201â€“1500,1201.0,National Taiwan Ocean University,Taiwan,QS World University Rankings 2026,8244.0,16.2,25.5,28.12,0.0617,8.0,19.7,32.52,25.5,19.7,25.0,30.2,63.0,34.7
1201â€“1500,1201.0,National Technical University Kharkiv Polytechnic Institute,Ukraine,QS World University Rankings 2026,11055.0,7.9,25.5,12.54,0.1266,14.0,24.8,12.34,25.5,24.8,9.0,14.9,17.5,33.6
1201â€“1500,1201.0,National Technical University of Ukraine â€“ Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,QS World University Rankings 2026,21170.0,8.0,25.5,13.56,0.125,3.0,26.5,13.88,25.5,26.5,9.9,16.0,22.2,22.4
