Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
Sogang University,South Korea,KR,,M,CO,VH,4,B,,,=509,457=,,22.9,,,,,,,,,,,,,,,,,,,,,21.5,401,49.1,178,55.7,269,5.5,701+,7.2,701+,24.3,483,1.0,701+,16.5,513,1.4,701+
Sohar University,Oman,,Asia,S,FO,VH,,Private not for Profit,951-1000,1001-1200,,,-,,8.1,701+,10.5,701+,3.8,801+,19.9,715,100.0,27,4.6,801+,8.7,801+,23.6,801+,71.0,204,34.2,801+,,,,,,,,,,,,,,,,,,
Soka University,Japan,,Asia,M,CO,MD,,Private not for Profit,1401+,,,,-,,5.9,701+,8.2,701+,10.7,801+,3.1,801+,67.7,345,13.3,801+,16.1,801+,11.9,801+,1.6,801+,11.8,801+,,,,,,,,,,,,,,,,,,
Soochow University,China (Mainland),CN,Asia,XL,CO,VH,3,Public,801-850,641-650,681-690,651-700,-,-,9.2,701+,8.2,701+,25.8,721,57.3,305,3.4,801+,2.4,801+,7.2,801+,51.1,801+,24.0,657,35.6,801+,6.2,601+,2.3,601+,16.8,701+,58.5,218,6.7,701+,2.7,701+,10.4,665,11.1,701+,3.8,701+
Soochow University (Taiwan),Taiwan,TW,,L,FO,MD,4,C,,,1401+,1201-1400,,-,,,,,,,,,,,,,,,,,,,,,4.7,601+,6.0,601+,4.3,701+,1.8,701+,4.0,701+,4.0,701+,1.0,701+,8.3,701+,2.2,701+
Sookmyung Women's University,Republic of Korea,,Asia,M,CO,HI,,Private for Profit,1201-1400,1201-1400,,,-,,6.9,701+,9.7,701+,46.8,422,4.9,801+,4.8,801+,5.0,801+,9.3,801+,6.1,801+,1.9,801+,39.8,801+,,,,,,,,,,,,,,,,,,
Sookmyung Women's University ,South Korea,KR,,M,CO,HI,4,C,,,1201-1400,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,5.4,601+,6.4,601+,21.4,637,4.5,701+,4.7,701+,2.0,701+,1.0,701+,7.3,701+,1,701+
Soonchunhyang University,Republic of Korea,,Asia,M,FC,VH,,Private not for Profit,1001-1200,1001-1200,,,-,,7.7,701+,9.1,701+,70.9,219,10.1,801+,7.5,801+,7.3,801+,11.0,801+,12.8,801+,1.9,801+,45.2,801+,,,,,,,,,,,,,,,,,,
Soonchunhyang University,South Korea,KR,,M,FC,HI,3,B,,,1001-1200,,,-,,,,,,,,,,,,,,,,,,,,,5.0,601+,2.9,601+,46.6,337,7.3,701+,5.7,701+,4.8,701+,1.0,701+,6.8,701+,1.1,701+
Soongsil University,Republic of Korea,,Asia,L,FO,VH,,Private for Profit,1401+,1401+,,,-,,3.4,701+,6.9,701+,12.0,801+,9.2,801+,5.7,801+,24.0,674,18.0,796,22.3,801+,3.5,801+,20.3,801+,,,,,,,,,,,,,,,,,,
Soongsil University,South Korea,KR,,L,CO,HI,3,C,,,1201-1400,1201-1400,,-,,,,,,,,,,,,,,,,,,,,,5.0,601+,6.5,601+,10.1,701+,4.3,701+,5.9,701+,13.9,641,1.0,701+,4.2,701+,1,701+
Sophia University,Japan,JP,Asia,L,CO,HI,4,Private not for Profit,951-1000,951-1000,901-950,801-1000,-,-,18.7,657,27.2,505,25.9,720,2.5,801+,41.0,489,20.3,726,26.4,666,9.1,801+,21.3,702,48.7,737=,12.1,601+,19.9,456,21.3,639,2.1,701+,35.2,452,12.0,679,1.0,701+,12.5,694,5.9,701+
Sorbonne University,France,FR,,XL,FC,VH,1,A,,,59,60,,71.7,,,,,,,,,,,,,,,,,,,,,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100.0,4,39.5,182,75.8,171=
Sorbonne University (merged from Paris IV & UPMC),France,,Europe,XL,FC,VH,,Public,72,63,,,75.7,,93.2,52,62.1,182,56.4,329,68.8,225,35.5,533,66.8,300,70.0,270,99.4,9,84.2,140,89.2,68=,,,,,,,,,,,,,,,,,,
South China University of Technology,China (Mainland),CN,Asia,XL,FO,VH,3,Public,377,385,=392,406=,39.8,28.2,18.8,652,20.8,635,29.4,641,99.3,31,15.9,778,10.5,801+,16.4,801+,64.8,623,40.4,434,50.1,701=,12.5,601+,4.2,601+,19.0,694,95.4,50,10.4,701+,4.5,701+,9.7,674,21.9,380,10.2,667=
South Ural State University,Russia,,Europe,L,CO,VH,,Public,951-1000,901-950,,,-,,8.6,701+,9.4,701+,57.4,317,8.3,801+,5.6,801+,22.5,694,26.0,669,84.2,272,5.5,801+,33.3,801+,,,,,,,,,,,,,,,,,,
South Ural State University (National Research University),Russia,RU,,L,CO,VH,4,A,,,951-1000,801-1000,,-,,,,,,,,,,,,,,,,,,,,,9.3,601+,4.2,601+,39.4,402,3.0,701+,9.7,701+,16.4,591,36.6,404,5.1,701+,1.3,701+
Southeast University,China (Mainland),CN,,XL,FC,VH,3,A,,,=454,461=,,25.2,,,,,,,,,,,,,,,,,,,,,12.8,601+,7.4,601+,23.9,593,73.1,134,15.1,664,3.5,701+,21.1,536,8.8,701+,16.9,581=
"Southeast University, China",China (Mainland),,Asia,XL,FC,VH,,Public,392,428,,,38.2,,21.1,588,20.8,632,24.5,745,93.6,83,31.6,569,6.1,801+,11.5,801+,76.9,407,9.6,801+,45.0,801+,,,,,,,,,,,,,,,,,,
Southern Cross University,Australia,AU,Oceania,M,CO,VH,2,Public,638,576,651-660,701-750,27.1,-,6.0,701+,4.3,701+,3.9,801+,55.5,322,92.7,203,62.6,322,66.2,296,61.1,677,6.2,801+,65.9,385=,4.7,601+,3.4,601+,3.2,701+,38.6,361,71.2,270,66.2,226,9.3,687,6.9,701+,11,656=
Southern Federal University,Russia,RU,Europe,L,CO,VH,5,Public,1001-1200,951-1000,851-900,541-550,-,-,7.0,701+,7.5,701+,65.4,266,3.5,801+,4.9,801+,42.3,470,47.6,435,43.6,801+,3.7,801+,31.4,801+,7.6,601+,3.6,601+,77.8,146,1.8,701+,3.5,701+,23.1,499,5.1,701+,6.6,701+,11.7,647=
Southern Methodist University,United States,US,Americas,M,CO,VH,5,Private not for Profit,1001-1200,1001-1200,1001-1200,801-1000,-,-,6.4,701+,10.9,701+,37.6,537,11.9,801+,15.8,782,16.3,792,12.4,801+,28.8,801+,62.4,251,41.9,801+,5.2,601+,3.8,601+,28.0,545,8.6,701+,13.0,700,8.8,701+,2.7,701+,30.5,252,1.6,701+
Southern University of Science and Technology,China (Mainland),CN,,M,FO,VH,2,A,,,301,226=,,34.6,,,,,,,,,,,,,,,,,,,,,9.1,601+,2.1,601+,94.6,64,95.0,53,37.2,434,1.5,701+,6.8,701+,7.4,701+,6.9,701+
Southern University of Science and Technology (SUSTech),China (Mainland),,Asia,M,FO,VH,,Public,343,284,,,41.8,,14.9,701+,9.4,701+,87.5,116,100.0,14,42.7,479,2.8,801+,7.2,801+,47.2,801+,1.3,801+,65.5,387=,,,,,,,,,,,,,,,,,,
Southwest University,China (Mainland),CN,Asia,XL,CO,VH,2,Public,1001-1200,1001-1200,1001-1200,1201-1400,-,-,3.2,701+,3.5,701+,12.0,801+,45.1,414,1.5,801+,5.3,801+,4.2,801+,51.4,801+,16.5,798,37.9,801+,3.9,601+,1.7,601+,12.6,701+,19.2,566,1.3,701+,1.7,701+,5.9,701+,9,701+,5.8,701+
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,India,IN,,XL,CO,VH,3,B,,,1201-1400,1201-1400,,-,,,,,,,,,,,,,,,,,,,,,7.0,601+,13.1,601+,12.2,701+,3.7,701+,1.7,701+,2.1,701+,8.1,701+,7.5,701+,3.8,701+
SRM Institute of Science and Technology (f.k.a SRM University),India,,Asia,XL,CO,VH,,Private not for Profit,1001-1200,1001-1200,,,-,,14.1,701+,21.8,606,17.1,801+,8.6,801+,1.7,801+,2.6,801+,7.1,801+,75.1,441,4.9,801+,49.2,729=,,,,,,,,,,,,,,,,,,
St. Louis University,United States,US,,M,CO,VH,5,B,,,901-950,601-650,,-,,,,,,,,,,,,,,,,,,,,,4.2,601+,2.7,601+,66.3,199,11.1,701+,16.5,642,6.5,701+,2.1,701+,11.1,701+,,
Stamford University Bangladesh,Bangladesh,BD,,,FO,,2,,,,1401+,,,-,,,,,,,,,,,,,,,,,,,,,10.0,601+,2.8,601+,,,,,,,,,1.0,701+,,,,
Stanford University,United States,US,Americas,L,FC,VH,5,Private not for Profit,3,6,5,3,98.9,98.1,100.0,5,100.0,3,100.0,17,99.7,24,94.2,188,73.5,261,76.1,230,96.5,49,100.0,2,95.4,19=,100.0,5,100.0,3,100.0,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63
State University Malang (Universitas Negeri Malang),Indonesia,,Asia,XL,FO,VH,,Public,1401+,1401+,,,-,,10.5,701+,4.9,701+,9.9,801+,2.9,801+,23.4,670,1.6,801+,6.1,801+,13.0,801+,7.3,801+,34.1,801+,,,,,,,,,,,,,,,,,,
State University of Malang,Indonesia,ID,,L,FO,VH,4,A,,,1401+,,,-,,,,,,,,,,,,,,,,,,,,,5.3,601+,2.3,601+,7.9,701+,1.7,701+,9.9,701+,1.3,701+,1.0,701+,7.5,701+,1,701+
Stefan cel Mare University of Suceava,Romania,RO,Europe,M,CO,HI,3,Public,1401+,1401+,1201-1400,1201-1400,-,-,5.5,701+,5.3,701+,7.1,801+,8.9,801+,3.3,801+,38.7,509,35.4,545,25.2,801+,5.3,801+,34.3,801+,3.8,601+,2.3,601+,4.9,701+,3.8,701+,2.4,701+,27.7,443,1.1,701+,8.5,701+,1,701+
Stellenbosch University,South Africa,ZA,Africa,L,FC,VH,5,Public,302,296,283,454=,45.2,36.5,36.7,331,44.8,299,5.0,801+,67.5,233,25.4,642,14.5,801+,11.0,801+,93.6,111,88.9,114,61.0,480=,25.0,351,39.4,240,3.1,701+,59.9,206,20.0,591,7.8,701+,92.0,69,50.1,132,44.1,339=
Stevens Institute of Technology,United States,US,Americas,M,FO,VH,5,Private not for Profit,673,701-710,621-630,701-750,26.2,-,4.0,701+,10.0,701+,8.4,801+,60.9,282,54.1,418,98.7,79,98.2,73,21.7,801+,13.5,801+,46.7,799=,2.7,601+,2.9,601+,4.7,701+,52.4,246,37.5,428,91.4,110,1.2,701+,12.2,701+,1.1,701+
Stockholm University,Sweden,SE,Europe,L,CO,VH,4,Public,147,128,118,153,62.5,56.8,65.1,155,29.5,484,28.3,678,73.6,186,83.0,271,79.4,224,59.1,346,96.7,45,90.5,102,72.1,291=,54.1,145,15.2,543,28.2,543,71.9,138,81.5,223,84.1,147,95.3,51,76.2,57,75.1,175=
Stony Brook University,United States,,Americas,L,FC,VH,,Public,452,460,,,34.2,,24.2,527,17.8,701+,43.6,459,32.4,556,47.4,451,53.4,384,57.9,352,73.7,474,31.9,527,82.5,141=,,,,,,,,,,,,,,,,,,
"Stony Brook University, State University of New York",United States,US,,L,FC,VH,4,A,,,=396,416=,,28.1,,,,,,,,,,,,,,,,,,,,,18.9,473,7.6,601+,30.4,517,31.8,424,45.2,376,51.0,285,34.4,424,18.5,449,88.8,97=
Sudan University of Science and Technology,Sudan,SD,,XL,CO,MD,3,A,,,1401+,1401+,,-,,,,,,,,,,,,,,,,,,,,,4.1,601+,2.7,601+,3.2,701+,1.2,701+,1.9,701+,1.6,701+,1.0,701+,9.4,701+,1,701+
Suez Canal University,Egypt,EG,Africa,XL,FC,HI,3,Public,1401+,1201-1400,1201-1400,1201-1400,-,-,6.1,701+,3.9,701+,17.4,801+,4.4,801+,2.5,801+,3.0,801+,7.3,801+,52.2,801+,2.9,801+,48.0,762,3.9,601+,2.6,601+,16.2,701+,2.2,701+,2.2,701+,1.8,701+,5.7,701+,4.7,701+,1.2,701+
Suleyman Demirel University,Turkey,TR,,XL,FC,MD,3,A,,,1201-1400,,,-,,,,,,,,,,,,,,,,,,,,,6.8,601+,3.8,601+,4.1,701+,2.4,701+,1.8,701+,5.1,701+,1.5,701+,7.5,701+,1.1,701+
"Suleyman Demirel University, Kazakhstan",Kazakhstan,KZ,,M,FO,MD,3,B,,,1201-1400,,,-,,,,,,,,,,,,,,,,,,,,,9.8,601+,8.5,601+,3.6,701+,1.3,701+,3.9,701+,1.2,701+,1.0,701+,12.7,682,1.1,701+
Sultan Qaboos University,Oman,OM,Asia,M,FC,VH,3,Public,334,362,=454,384=,42.3,25.2,28.9,430,25.9,522,62.3,284,39.5,478,100.0,81,6.0,801+,9.9,801+,80.9,333,70.0,209,69.6,320,16.7,528,13.7,593,56.7,259,18.4,577,100.0,58,3.4,701+,48.3,325,17.4,478,8,701+
Sumgait State University,Azerbaijan,,Asia,M,CO,MD,,Public,1001-1200,,,,-,,14.1,701+,12.6,701+,97.9,58,1.1,801+,2.6,801+,1.4,801+,5.8,801+,1.8,801+,12.0,801+,,,,,,,,,,,,,,,,,,,,
Sumy State University,Ukraine,UA,Europe,M,FC,HI,3,Public,1001-1200,1001-1200,951-1000,801-1000,-,-,6.3,701+,11.0,701+,47.1,418,5.2,801+,3.9,801+,29.1,603,29.5,620,35.5,801+,4.5,801+,48.2,751=,5.6,601+,5.7,601+,42.4,373,2.3,701+,2.9,701+,63.1,239,1.2,701+,9.7,701+,3.4,701+
Sun Yat-sen University,China (Mainland),CN,Asia,XL,FC,VH,4,Public,276,331,=323,267=,48,32.8,45.4,259,39.0,351,53.4,352,72.6,193,4.1,801+,6.8,801+,5.3,801+,78.4,377,38.8,446,56.7,562=,36.4,238,22.3,423,48.8,321,44.1,304,2.4,701+,4.2,701+,33.3,429,16.7,508,38.4,373=
Sungkyunkwan University,Republic of Korea,,Asia,L,FC,VH,,Private not for Profit,126,123,,,65.2,,68.4,139,75.6,125,83.8,149,62.3,269,24.2,659,57.6,359,61.6,326,49.5,801+,44.2,400,74.7,243=,,,,,,,,,,,,,,,,,,
Sungkyunkwan University(SKKU),South Korea,KR,,L,FC,VH,5,B,,,=145,99,,51.9,,,,,,,,,,,,,,,,,,,,,64.2,106,71.6,98,81.8,129,37.9,369,17.8,618,34.0,387,9.8,672,26.8,304,27.6,471=
Sungshin Women's University,Republic of Korea,,Asia,M,CO,MD,,Private not for Profit,1001-1200,1001-1200,,,-,,9.1,701+,13.4,701+,85.0,135,1.5,801+,3.7,801+,6.6,801+,10.6,801+,2.7,801+,1.8,801+,28.5,801+,,,,,,,,,,,,,,,,,,
Sungshin Women's University,South Korea,KR,,M,CO,MD,3,B,,,901-950,591-600,,-,,,,,,,,,,,,,,,,,,,,,5.1,601+,7.4,601+,88.4,91,1.2,701+,2.8,701+,4.2,701+,1.0,701+,5.1,701+,1,701+
Sunway University,Malaysia,MY,Asia,M,CO,VH,2,Private not for Profit,410,539,=586,601-650,36.7,20.2,20.9,592,53.3,228,56.9,324,25.2,636,57.1,405,66.9,298,68.7,279,61.4,671,5.1,801+,61.2,474=,10.5,601+,44.1,204,52.2,303,7.2,701+,35.5,450,24.3,482,4.4,701+,9.2,701+,5.4,701+
Suranaree University of Technology,Thailand,TH,Asia,L,FC,HI,3,Public,1201-1400,1201-1400,1201-1400,1201-1400,-,-,10.2,701+,6.5,701+,5.9,801+,16.7,768,7.4,801+,2.4,801+,6.7,801+,27.3,801+,3.2,801+,44.6,801+,6.2,601+,3.1,601+,3.4,701+,8.6,701+,6.1,701+,1.5,701+,1.6,701+,8.5,701+,1.7,701+
Swansea University,United Kingdom,UK,Europe,L,FC,VH,5,Public,292,298,=307,425=,46.2,33.9,34.7,348,54.7,222,28.6,666,43.0,439,76.9,312,80.5,221,82.4,187,79.7,357,13.7,801+,84.4,121,21.0,418,45.0,193,23.6,608,27.4,460,73.1,261,54.1,271,59.0,254,10.6,701+,61,248
Swarthmore College,United States,US,,S,CO,HI,5,B,,,741-750,501-510,,-,,,,,,,,,,,,,,,,,,,,,3.4,601+,1.8,601+,85.9,102,17.0,602,5.4,701+,28.8,432,1.0,701+,18.5,453,,
Swinburne University of Technology,Australia,AU,Oceania,L,CO,VH,3,Public,294,291,=285,296=,46,36.1,18.8,655,19.3,675,14.7,801+,95.0,68,87.8,237,94.7,130,70.5,266,74.0,467,22.8,675,73.4,267=,13.4,601+,12.0,601+,11.0,701+,89.5,76,97.9,114,65.5,229,23.9,507,10.8,701+,25.8,487
Symbiosis International (Deemed University),India,,Asia,L,CO,VH,,Private not for Profit,696,641-650,,,25.2,,9.2,701+,94.7,51,26.5,704,3.3,801+,23.3,673,16.1,796,20.4,757,29.4,801+,8.9,801+,45.6,801+,,,,,,,,,,,,,,,,,,
Syracuse University,United States,US,Americas,L,CO,VH,5,Private not for Profit,741-750,801-850,781-790,751-800,-,-,17.0,701+,18.3,699,16.1,801+,17.0,763,25.2,648,45.5,443,50.5,410,56.7,742,58.0,285,60.9,486=,13.6,601+,9.6,601+,11.8,701+,13.7,661,4.8,701+,44.1,328,11.1,650,30.2,256,23,514=
Széchenyi István University,Hungary,HU,Europe,M,FO,VH,2,Private for Profit,1001-1200,1001-1200,1001-1200,801-1000,-,-,12.2,701+,36.6,391,28.9,655,2.9,801+,4.9,801+,13.4,801+,19.3,773,16.5,801+,4.8,801+,44.9,801+,8.1,601+,24.7,388,22.8,622,1.6,701+,4.2,701+,6.6,701+,1.0,701+,9.2,701+,1.3,701+
Taibah University,Saudi Arabia,SA,Asia,XL,FC,HI,2,Public,1201-1400,1001-1200,1001-1200,1001-1200,-,-,9.2,701+,4.3,701+,7.6,801+,7.4,801+,90.6,221,3.6,801+,8.2,801+,38.0,801+,2.5,801+,32.5,801+,5.7,601+,2.3,601+,4.1,701+,3.2,701+,97.7,121,2.3,701+,2.4,701+,4.5,701+,2.1,701+
Taif University,Saudi Arabia,,Asia,XL,FC,VH,,Public,901-950,,,,-,,7.0,701+,2.7,701+,9.2,801+,30.2,586,100.0,44,4.7,801+,9.2,801+,80.5,343,2.9,801+,46.0,801+,,,,,,,,,,,,,,,,,,
Taipei Medical University,Taiwan,,Asia,M,SP,VH,,Private not for Profit,597,611-620,,,28.3,,16.9,701+,14.7,701+,94.2,83,32.3,558,20.0,713,22.0,699,16.6,801+,24.7,801+,11.9,801+,48.1,757=,,,,,,,,,,,,,,,,,,
Taipei Medical University (TMU),Taiwan,TW,,M,SP,,2,B,,,=577,384=,,20.5,,,,,,,,,,,,,,,,,,,,,10.3,601+,15.4,536,91.1,81,17.9,585,15.1,667,15.6,609,1.3,701+,9.9,701+,9,688
Tallinn University,Estonia,EE,Europe,M,FO,VH,2,Public,901-950,1001-1200,1001-1200,1001-1200,-,-,11.1,701+,12.4,701+,12.6,801+,9.9,801+,63.9,363,30.6,585,36.5,529,55.1,768,45.6,382,44.3,801+,8.7,601+,5.7,601+,6.9,701+,6.1,701+,40.0,412,19.3,556,9.3,686,11,701+,1.3,701+
Tallinn University of Technology,Estonia,,Europe,M,FO,VH,,Public,635,621-630,,,27.2,,16.2,701+,18.6,694,33.5,581,23.5,665,53.2,425,26.8,635,32.8,578,81.2,326,50.5,341,43.0,801+,,,,,,,,,,,,,,,,,,
Tallinn University of Technology (TalTech),Estonia,EE,,M,FO,VH,5,A,,,651-660,701-750,,-,,,,,,,,,,,,,,,,,,,,,12.9,601+,11.4,601+,27.6,553,9.6,701+,49.5,360,25.0,475,48.5,323,32,239,3.5,701+
Tamkang University,Taiwan,TW,Asia,L,CO,HI,3,Private for Profit,1201-1400,1201-1400,1201-1400,1201-1400,-,-,7.8,701+,9.9,701+,5.2,801+,11.0,801+,8.0,801+,11.6,801+,16.4,801+,24.6,801+,35.6,484,45.7,801+,5.7,601+,5.5,601+,3.6,701+,5.6,701+,8.4,701+,7.4,701+,1.1,701+,20.9,395,4.9,701+
Tampere University,Finland,FI,Europe,L,FC,VH,1,Public,423,462,=436,415,36.1,26.0,29.2,424,24.7,543,24.8,737,47.7,392,61.6,378,13.9,801+,19.6,771,84.0,277,42.1,417,49.2,729=,22.5,391,19.5,463,23.9,595,31.8,422,32.0,473,6.4,701+,56.4,275,20.6,406,37.2,387
Tanta University,Egypt,EG,Africa,XL,FC,HI,4,Public,1201-1400,1201-1400,1201-1400,1201-1400,-,-,7.7,701+,9.8,701+,7.2,801+,4.0,801+,1.5,801+,3.0,801+,7.3,801+,73.3,484,5.7,801+,48.1,757=,6.3,601+,4.3,601+,4.1,701+,2.1,701+,1.6,701+,2.0,701+,21.4,533,6.5,701+,13.9,625=
Taras Shevchenko National University of Kyiv,Ukraine,UA,Europe,L,CO,VH,5,Public,721-730,701-710,681-690,651-700,-,-,21.9,567,50.1,254,30.7,619,3.9,801+,1.7,801+,3.7,801+,8.2,801+,37.6,801+,72.0,200,37.9,801+,19.2,467,38.6,252,33.4,477,2.3,701+,1.5,701+,5.1,701+,2.9,701+,28,288,1.9,701+
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),Uzbekistan,,Asia,M,CO,VH,,Public,469,547,,,33.7,,35.6,341,46.0,292,87.1,120,4.2,801+,44.3,470,16.7,785,18.5,787,18.6,801+,24.8,644,46.9,793=,,,,,,,,,,,,,,,,,,
Tashkent State Technical University,Uzbekistan,,Asia,L,CO,HI,,Public,901-950,,,,-,,30.6,399,16.2,701+,20.1,801+,2.1,801+,62.9,371,1.8,801+,6.1,801+,9.9,801+,30.7,540,33.9,801+,,,,,,,,,,,,,,,,,,
Tashkent State Transport University,Uzbekistan,,Asia,L,FO,HI,,Public,1201-1400,,,,-,,19.3,640,10.8,701+,24.7,740,1.3,801+,3.5,801+,2.3,801+,6.5,801+,2.0,801+,9.2,801+,30.1,801+,,,,,,,,,,,,,,,,,,
Tashkent State University of Economics,Uzbekistan,,Asia,L,SP,MD,,Public,1001-1200,,,,-,,15.7,701+,31.4,455,14.0,801+,1.5,801+,19.2,726,11.3,801+,13.9,801+,13.5,801+,23.7,660,36.7,801+,,,,,,,,,,,,,,,,,,
Tashkent University of Information Technologies,Uzbekistan,,Asia,L,SP,HI,,Public,1401+,,,,-,,10.7,701+,15.4,701+,7.4,801+,1.7,801+,10.4,801+,3.3,801+,7.4,801+,3.5,801+,9.4,801+,27.7,801+,,,,,,,,,,,,,,,,,,
Taylor's University,Malaysia,MY,,S,FO,VH,2,C,,,284,284=,,36.2,,,,,,,,,,,,,,,,,,,,,24.0,358,82.8,67,63.3,225,8.5,701+,54.1,342,98.8,55,3.8,701+,10.5,701+,2.3,701+
Taylor's University (Malaysia),Malaysia,,Asia,M,CO,VH,,Private for Profit,253,251,,,50,,40.2,298,85.2,92,69.7,233,21.0,696,73.0,324,100.0,34,100.0,25,53.5,789,5.2,801+,57.8,546=,,,,,,,,,,,,,,,,,,
Technical University of Cluj-Napoca,Romania,RO,Europe,L,SP,VH,5,Public,1201-1400,1201-1400,1201-1400,1201-1400,-,-,5.8,701+,10.7,701+,10.5,801+,8.2,801+,4.0,801+,5.6,801+,10.1,801+,46.5,801+,5.1,801+,42.1,801+,5.0,601+,4.8,601+,7.3,701+,3.7,701+,1.7,701+,2.7,701+,2.8,701+,8,701+,1.1,701+
Technical University of Crete,Greece,GR,,,SP,,,,,,1401+,,,-,,,,,,,,,,,,,,,,,,,,,5.9,601+,5.4,601+,,,,,,,,,2.6,701+,,,,
Technical University of Darmstadt,Germany,DE,,L,FO,VH,5,A,,,=246,275=,,39.7,,,,,,,,,,,,,,,,,,,,,21.0,417,37.5,263,6.2,701+,79.0,117,62.6,310,74.6,188,32.5,439,33.5,229,19.9,545=
Technical University of Denmark,Denmark,DK,Europe,M,FO,VH,5,Public,107,109,121,104=,67.5,56.2,44.8,264,36.2,396,98.4,49,90.9,99,100.0,52,95.9,113,96.1,96,87.1,213,60.5,269,68.0,351=,32.5,270,16.3,525,99.8,27,83.4,99,100.0,53,82.0,153,71.6,189,28.9,275,54.9,277=
Technical University of Kosice,Slovakia,SK,Europe,M,FO,VH,4,Public,1001-1200,1001-1200,1001-1200,801-1000,-,-,8.2,701+,13.8,701+,21.4,801+,10.3,801+,1.8,801+,89.6,169,66.7,291,40.5,801+,21.4,699,21.9,801+,7.5,601+,2.5,601+,22.8,621,5.2,701+,1.5,701+,59.3,251,1.7,701+,12.8,670,1.1,701+
Technical University of Liberec,Czech Republic,CZ,Europe,M,CO,VH,4,Public,1201-1400,1201-1400,1001-1200,801-1000,-,-,5.6,701+,5.0,701+,43.9,452,9.3,801+,15.6,789,14.9,801+,18.7,785,28.5,801+,2.5,801+,15.7,801+,4.3,601+,3.2,601+,45.5,346,4.3,701+,16.4,647,10.1,701+,1.6,701+,7.8,701+,1,701+
Technical University of Lublin,Poland,PL,,M,FO,VH,2,A,,,1201-1400,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,5.7,601+,1.9,601+,23.8,596,2.7,701+,,,11.3,686,1.0,701+,6.2,701+,1,701+
Technical University of Munich,Germany,DE,Europe,XL,FO,VH,5,Public,22,28,37,49,90.2,80.0,92.0,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72,98.9,63,95.9,63,57.3,293,87.8,83=,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25,330,84.8,120=
Technical University of Ostrava,Czech Republic,,Europe,M,FO,VH,,Public,1001-1200,1001-1200,,,-,,7.7,701+,21.5,614,28.9,653,10.3,801+,15.2,801+,41.1,482,45.1,463,56.9,738,5.0,801+,46.5,801+,,,,,,,,,,,,,,,,,,
Technion - Israel Institute of Technology,Israel,IL,Asia,L,FO,VH,5,Public,350,416,=392,408=,41.5,28.2,32.2,384,35.6,404,67.3,252,33.3,546,91.1,217,10.6,801+,8.1,801+,57.5,725,65.9,237,53.2,641=,25.4,345,27.8,347,43.9,358,25.4,479,64.8,296,4.6,701+,12.8,628,30.7,250,26.1,485=
Technische Universität Bergakademie Freiberg,Germany,DE,Europe,S,FO,VH,,,487,380,1401+,,32.8,-,7.4,701+,6.4,701+,10.1,801+,90.9,101,59.7,392,100.0,25,100.0,16,35.1,801+,1.4,801+,32.9,801+,5.5,601+,4.6,601+,,,,,,,,,4.9,701+,,,,
Technische Universität Berlin,Germany,,Europe,L,CO,VH,,Public,145,147,,,62.8,,64.6,156,79.4,107,70.6,221,34.3,533,64.2,361,84.5,197,85.9,168,89.0,187,47.6,367,68.3,344=,,,,,,,,,,,,,,,,,,
Technische Universität Berlin (TU Berlin),Germany,DE,,L,CO,VH,5,A,,,=154,158,,50.5,,,,,,,,,,,,,,,,,,,,,56.2,137,69.3,107,53.0,296,24.9,492,51.3,351,68.8,214,55.0,284,25.4,327,52.1,294
