rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,stats_pc_intl_students_clean,clean_rank
1001â€“1200,Indian Institute of Technology Ropar,30.450000000000003,10750,36.5,410,18.4,895,44.7,1125,27.2,1256,23.7,1751,master_account,0,/world-university-rankings/indian-institute-technology-ropar,625269,India,"2,486",14.9,1%,0.970833333,Indian Institute of Technology Ropar,"Computer Science,Communication & Media Studies,Civil Engineering,Mathematics & Statistics,Accounting & Finance,General Engineering,Sociology,Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Electrical & Electronic Engineering,Psychology",False,False,False,,QS World University Rankings 2026,2486.0,14.9,1.0,1001.0
1001â€“1200,Indian Institute of Technology Mandi,30.450000000000003,10760,36.5,411,13.4,1264,49.2,1033,18.3,1642,26.8,1622,master_account,0,/world-university-rankings/indian-institute-technology-mandi,688816,India,"2,058",12.9,1%,27 : 73,Indian Institute of Technology Mandi,"Psychology,Physics & Astronomy,Mathematics & Statistics,General Engineering,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Computer Science,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Economics & Econometrics",False,False,False,,QS World University Rankings 2026,2058.0,12.9,1.0,1001.0
1001â€“1200,University of Ioannina,32.625,10770,14.0,1801,12.4,1364,55.9,864,47.4,854,43.2,1008,master_account,0,/world-university-rankings/university-ioannina,131284,Greece,"32,155",32.6,5%,54:46:00,University of Ioannina,"History, Philosophy & Theology,Chemical Engineering,Medicine & Dentistry,Accounting & Finance,Computer Science,Education,Art, Performing Arts & Design,Agriculture & Forestry,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Archaeology,Physics & Astronomy,Architecture,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,General Engineering,Psychology,Other Health,Chemistry",False,False,False,,QS World University Rankings 2026,32155.0,32.6,5.0,1001.0
1001â€“1200,University of Isfahan,30.450000000000003,10780,30.4,670,16.8,984,40.9,1202,26.2,1289,35.5,1295,master_account,0,/world-university-rankings/university-isfahan,606483,Iran,"17,182",24.0,8%,58:42:00,University of Isfahan,"General Engineering,Chemistry,Economics & Econometrics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemical Engineering,Computer Science,Geography,Languages, Literature & Linguistics,Physics & Astronomy,Electrical & Electronic Engineering,Education,Sport Science,Civil Engineering,Law,Sociology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Psychology,Communication & Media Studies,Biological Sciences,Business & Management,Mathematics & Statistics,Other Health",False,False,False,,QS World University Rankings 2026,17182.0,24.0,8.0,1001.0
1001â€“1200,The Islamia University of Bahawalpur,30.450000000000003,10790,16.4,1668,11.4,1477,66.7,631,18.2,1651,48.2,860,master_account,0,/world-university-rankings/islamia-university-bahawalpur,625047,Pakistan,"64,226",47.8,0%,42:58:00,The Islamia University of Bahawalpur,"Computer Science,Education,Electrical & Electronic Engineering,Civil Engineering,Biological Sciences,History, Philosophy & Theology,Geography,Business & Management,Physics & Astronomy,Accounting & Finance,Medicine & Dentistry,Art, Performing Arts & Design,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemistry,Veterinary Science,Sport Science,Law,Psychology,Archaeology,Other Health,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Mechanical & Aerospace Engineering,Sociology,Economics & Econometrics",False,False,False,,QS World University Rankings 2026,64226.0,47.8,0.0,1001.0
1001â€“1200,Istanbul University,16.2,10800,23.5,1110,22.0,730,34.4,1339,50.9,793,38.2,1181,master_account,0,/world-university-rankings/istanbul-university,993,Turkey,"61,369",25.4,9%,56:44:00,Istanbul University,"Law,Archaeology,Art, Performing Arts & Design,Business & Management,Accounting & Finance,Chemistry,Architecture,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Geography,Psychology,Biological Sciences,Computer Science,History, Philosophy & Theology,Sociology,Other Health,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies,Mathematics & Statistics",False,False,False,,QS World University Rankings 2026,61369.0,25.4,9.0,1001.0
1001â€“1200,Istanbul University-CerrahpaÅŸa,16.2,10810,26.0,936,24.1,647,41.7,1190,59.8,650,26.9,1617,master_account,0,/world-university-rankings/istanbul-university-cerrahpasa-0,705875,Turkey,"22,236",27.8,6%,52:48:00,Istanbul University-CerrahpaÅŸa,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Veterinary Science,Computer Science,Other Health,Chemistry,General Engineering,Agriculture & Forestry,Sport Science",False,False,False,,QS World University Rankings 2026,22236.0,27.8,6.0,1001.0
1001â€“1200,Iuliu HaÅ£ieganu University of Medicine and Pharmacy Cluj-Napoca,25.5,10820,25.8,951,10.9,1538,54.3,906,25.2,1331,50.2,797,master_account,0,/world-university-rankings/iuliu-hatieganu-university-medicine-and-pharmacy-cluj-napoca,622491,Romania,"8,258",8.9,36%,66:34:00,Iuliu HaÅ£ieganu University of Medicine and Pharmacy Cluj-Napoca,"Other Health,Medicine & Dentistry",False,False,False,,QS World University Rankings 2026,8258.0,8.9,36.0,1001.0
1001â€“1200,Jadavpur University,30.450000000000003,10830,35.3,451,15.8,1060,46.0,1096,35.4,1083,19.2,1883,master_account,0,/world-university-rankings/jadavpur-university,979,India,"14,338",21.3,0%,31 : 69,Jadavpur University,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Geography,History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Civil Engineering,Sociology,Chemical Engineering,Education,Biological Sciences,Economics & Econometrics,Architecture,Chemistry",False,False,False,,QS World University Rankings 2026,14338.0,21.3,0.0,1001.0
1001â€“1200,University of Jeddah,39.4,10840,17.4,1599,9.2,1759,51.5,978,16.0,1859,73.2,360,master_account,0,/world-university-rankings/university-jeddah-0,709526,Saudi Arabia,"28,561",14.6,2%,67:33:00,University of Jeddah,"Business & Management,General Engineering,Mathematics & Statistics,Chemical Engineering,Sport Science,Geography,Archaeology,Civil Engineering,Biological Sciences,Chemistry,Computer Science,Medicine & Dentistry,Sociology,Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Accounting & Finance,Other Health,Education,Electrical & Electronic Engineering,Law,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Psychology",False,False,False,,QS World University Rankings 2026,28561.0,14.6,2.0,1001.0
1001â€“1200,Jimma University,30.450000000000003,10850,16.4,1670,8.9,1811,60.2,772,16.2,1836,39.2,1142,master_account,0,/world-university-rankings/jimma-university-0,707906,Ethiopia,"30,186",14.9,1%,38 : 62,Jimma University,"Biological Sciences,Geography,General Engineering,Veterinary Science,Business & Management,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Law,Other Health,Mathematics & Statistics,Psychology,Chemical Engineering,Education,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Sport Science,Chemistry,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Architecture,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics",False,False,False,,QS World University Rankings 2026,30186.0,14.9,1.0,1001.0
1001â€“1200,Kanazawa University,25.5,10860,35.5,448,18.8,877,35.4,1315,70.4,420,33.6,1366,master_account,0,/world-university-rankings/kanazawa-university,954,Japan,"10,271",9.9,6%,37 : 63,Kanazawa University,"Civil Engineering,Mathematics & Statistics,General Engineering,Chemistry,Computer Science,Politics & International Studies (incl Development Studies),Architecture,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Archaeology,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Sociology,Business & Management,Medicine & Dentistry,Chemical Engineering,Law,Other Health,Physics & Astronomy,Economics & Econometrics,Psychology,Communication & Media Studies",False,False,False,,QS World University Rankings 2026,10271.0,9.9,6.0,1001.0
1001â€“1200,Kansai Medical University,25.5,10870,30.0,686,10.6,1573,51.6,975,47.9,846,21.0,1841,master_account,0,/world-university-rankings/kansai-medical-university,610089,Japan,"1,217",1.6,3%,55:45:00,Kansai Medical University,"Medicine & Dentistry,Other Health",False,False,False,,QS World University Rankings 2026,1217.0,1.6,3.0,1001.0
1001â€“1200,Karlstad University,59.5,10880,19.9,1379,14.4,1165,53.8,922,29.4,1196,57.4,634,master_account,0,/world-university-rankings/karlstad-university,625944,Sweden,"10,279",12.8,2%,63:37:00,Karlstad University,"Sociology,Languages, Literature & Linguistics,Business & Management,Mathematics & Statistics,Education,Chemistry,Mechanical & Aerospace Engineering,Medicine & Dentistry,Sport Science,Geography,Other Health,Psychology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Chemical Engineering,Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,Law,Communication & Media Studies,History, Philosophy & Theology,Accounting & Finance",False,False,False,,QS World University Rankings 2026,10279.0,12.8,2.0,1001.0
1001â€“1200,Karnatak University Dharwad,30.450000000000003,10890,35.1,458,9.7,1688,52.5,951,21.6,1457,27.8,1586,master_account,0,/world-university-rankings/karnatak-university-dharwad,622218,India,"4,968",12.1,0%,53:47:00,Karnatak University Dharwad,"Art, Performing Arts & Design,Geography,Archaeology,Communication & Media Studies,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management,History, Philosophy & Theology,Mathematics & Statistics,Law,Education,Physics & Astronomy,Chemistry,Economics & Econometrics,Computer Science,Sociology,Agriculture & Forestry,Psychology",False,False,False,,QS World University Rankings 2026,4968.0,12.1,0.0,1001.0
