University,Location,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score,Overall Score,Rank
University of Southern Denmark,Denmark,30.3,35.0,88.3,95.0,76.8,65.08,196
University College Dublin,Ireland,32.7,41.2,85.9,76.0,89.4,65.04,197
University of Helsinki,Finland,48.8,58.0,90.9,68.2,59.2,65.02,198
Tianjin University,China,46.8,47.7,73.4,99.6,57.3,64.96000000000001,199
Technical University of Darmstadt,Germany,42.7,48.0,65.0,99.9,68.8,64.88,200
University of Virginia (Main campus),United States,49.3,42.2,87.3,85.2,60.1,64.82000000000001,201
United Arab Emirates University,United Arab Emirates,28.4,37.3,88.9,81.3,88.2,64.82,202
Kyung Hee University,South Korea,40.2,39.8,71.8,99.9,72.1,64.76,203
RMIT University,Australia,34.0,36.5,82.8,77.0,92.9,64.64000000000001,204
Curtin University,Australia,28.2,34.7,88.9,76.6,94.8,64.64,205
RCSI University of Medicine and Health Sciences,Ireland,32.0,36.6,82.6,80.4,91.6,64.64,206
Politecnico di Milano,Italy,43.3,49.6,69.4,96.3,64.4,64.6,207
University of Exeter,United Kingdom,34.8,42.3,94.9,56.0,94.9,64.58,208
University of Arizona,United States,48.0,52.8,86.3,81.0,54.5,64.52000000000001,209
Simon Fraser University,Canada,28.6,35.5,81.8,84.5,92.2,64.52,210
Université Laval,Canada,40.5,38.9,70.8,96.0,76.1,64.46,211
University of Potsdam,Germany,37.7,45.2,81.8,91.2,66.3,64.44,212
Macau University of Science and Technology,Macao,33.9,36.7,79.6,73.9,98.0,64.42,213
Sant’Anna School of Advanced Studies – Pisa,Italy,49.9,39.5,80.2,92.3,60.0,64.38000000000001,214
Texas A&M University,United States,52.7,57.3,74.3,73.2,64.3,64.36,215
Hong Kong Baptist University,Hong Kong,32.3,40.0,80.8,70.4,98.1,64.32000000000001,216
Université Libre de Bruxelles,Belgium,36.3,45.5,82.9,68.6,88.3,64.32,217
University of Bologna,Italy,53.1,47.7,83.8,79.8,57.0,64.28,218
Indiana University,United States,46.6,38.3,87.4,85.0,64.0,64.26,219
Southern University of Science and Technology (SUSTech),China,36.7,43.3,93.2,80.9,67.1,64.24,220
Goethe University Frankfurt,Germany,42.5,43.3,82.5,83.9,68.7,64.18,221
University of Liège,Belgium,34.0,42.8,72.9,96.7,74.5,64.17999999999999,222
Harbin Institute of Technology,China,57.3,55.2,74.7,99.9,33.7,64.16,223
University of Newcastle,Australia,31.7,36.0,84.8,84.6,83.3,64.08,224
La Trobe University,Australia,29.2,36.2,89.3,77.2,88.1,64.0,225
Qatar University,Qatar,31.0,37.4,87.5,69.0,95.1,64.0,226
Deakin University,Australia,29.8,36.3,91.5,76.8,85.4,63.959999999999994,227
"University of Maryland, College Park",United States,49.0,57.7,92.1,71.6,49.4,63.959999999999994,228
Hanyang University,South Korea,45.2,41.1,64.8,99.5,68.7,63.86,229
University of South Australia,Australia,22.4,36.0,80.6,96.2,84.0,63.839999999999996,230
Beijing Normal University,China,57.5,48.4,79.9,80.7,52.0,63.7,231
Aalborg University,Denmark,31.7,44.7,80.9,87.6,73.5,63.67999999999999,232
IMT Atlantique,France,47.4,35.7,51.3,97.7,85.4,63.5,233
Case Western Reserve University,United States,51.1,40.3,88.6,70.9,66.3,63.44,234
University of Stuttgart,Germany,43.5,49.7,62.9,99.9,61.1,63.42,235
University of Notre Dame,United States,53.2,45.1,72.4,73.9,72.3,63.38000000000001,236
University of Navarra,Spain,37.2,32.3,84.5,87.0,75.9,63.379999999999995,237
University of Tasmania,Australia,32.0,36.3,81.6,76.7,90.0,63.31999999999999,238
Universiti Teknologi Petronas,Malaysia,36.8,39.1,82.2,80.2,78.0,63.260000000000005,239
"Northeastern University, US",United States,39.5,32.7,91.9,69.5,82.7,63.260000000000005,240
King Saud University,Saudi Arabia,35.5,29.9,83.3,84.6,82.9,63.239999999999995,241
Huazhong University of Science and Technology,China,46.7,48.4,88.3,99.7,33.0,63.21999999999999,242
"University of California, Santa Cruz",United States,35.3,41.7,93.2,71.9,73.9,63.2,243
University of Colorado Boulder,United States,47.0,52.6,86.6,73.3,56.3,63.160000000000004,244
Stockholm University,Sweden,32.8,49.0,89.3,65.1,79.6,63.15999999999999,245
Dartmouth College,United States,56.8,39.4,83.2,75.9,60.5,63.15999999999999,246
University of Sussex,United Kingdom,31.8,36.0,89.6,62.7,95.5,63.11999999999999,247
Georgetown University,United States,50.4,34.7,83.7,92.3,54.3,63.080000000000005,248
University of Bath,United Kingdom,37.5,35.5,81.3,66.6,94.5,63.08,249
University of Dundee,United Kingdom,26.2,32.2,84.6,79.9,92.2,63.02,250
Tilburg University,Netherlands,28.2,43.8,76.6,80.5,85.7,62.96,251
University of Innsbruck,Austria,33.2,35.9,68.6,83.0,94.1,62.959999999999994,252
Université Paris Cité,France,44.7,37.8,90.7,67.0,73.8,62.8,253
Sichuan University,China,48.2,49.1,72.8,98.8,44.6,62.70000000000001,254
Sapienza University of Rome,Italy,53.4,50.8,73.7,93.0,42.6,62.7,255
University of Pittsburgh-Pittsburgh campus,United States,48.6,45.7,93.0,76.2,49.8,62.660000000000004,256
Sejong University,South Korea,31.8,34.9,94.3,83.2,68.9,62.620000000000005,257
Universitat Autònoma de Barcelona (UAB),Spain,43.9,42.4,84.1,72.4,70.3,62.61999999999999,258
University of Münster,Germany,44.0,47.9,83.9,82.2,54.7,62.54,259
University of São Paulo,Brazil,58.8,60.7,55.7,93.9,43.0,62.42,260
Tufts University,United States,50.7,36.3,89.1,72.7,63.1,62.38000000000001,261
University of the Witwatersrand,South Africa,32.8,42.8,71.0,89.3,75.4,62.25999999999999,262
Arizona State University (Tempe),United States,38.5,45.2,84.4,70.9,71.5,62.1,263
University of Miami,United States,46.5,34.8,83.6,79.9,65.6,62.08,264
Heinrich Heine University Düsseldorf,Germany,37.1,34.6,85.4,84.2,69.1,62.08,265
Friedrich Schiller University Jena,Germany,42.6,42.3,83.0,78.0,64.2,62.02,266
University of Gothenburg,Sweden,34.6,43.4,90.2,77.3,64.4,61.98,267
Ulsan National Institute of Science and Technology (UNIST),South Korea,48.0,39.8,83.2,97.0,41.6,61.92,268
University of Duisburg-Essen,Germany,35.4,36.0,82.9,90.1,65.0,61.879999999999995,269
Heriot-Watt University,United Kingdom,34.7,33.9,62.3,83.0,95.4,61.85999999999999,270
Griffith University,Australia,28.5,36.1,83.1,78.4,82.5,61.720000000000006,271
University of Bergen,Norway,35.2,37.1,82.1,76.7,77.4,61.7,272
École Normale Supérieure de Lyon,France,56.7,45.4,53.0,86.3,67.1,61.7,273
Nagoya University,Japan,55.0,55.9,54.9,99.7,42.9,61.67999999999999,274
Semmelweis University,Hungary,45.0,29.6,80.1,74.7,78.5,61.58,275
Loughborough University,United Kingdom,35.6,33.9,76.2,70.2,91.2,61.419999999999995,276
Beijing Institute of Technology,China,45.4,44.0,76.3,98.5,42.4,61.31999999999999,277
Sabancı University,Turkey,31.0,38.4,72.6,97.2,67.2,61.279999999999994,278
Dalhousie University,Canada,29.6,32.9,76.9,78.2,88.5,61.220000000000006,279
George Washington University,United States,48.6,35.1,86.3,67.8,68.3,61.220000000000006,280
Illinois Institute of Technology,United States,41.8,26.7,70.8,92.2,74.0,61.1,281
Hasselt University,Belgium,33.1,38.2,73.4,88.5,72.1,61.06,282
Lappeenranta-Lahti University of Technology LUT,Finland,31.7,35.6,87.2,80.7,70.1,61.05999999999999,283
Johannes Kepler University of Linz,Austria,35.7,35.3,61.3,98.0,74.2,60.9,284
University at Buffalo,United States,40.9,35.3,75.9,78.2,73.9,60.84000000000001,285
Swinburne University of Technology,Australia,32.7,34.5,91.4,73.5,72.1,60.84000000000001,286
Northwestern Polytechnical University,China,37.7,41.9,76.3,99.2,49.1,60.839999999999996,287
Virginia Polytechnic Institute and State University,United States,40.7,40.6,79.7,77.9,65.3,60.839999999999996,288
University of Hawai’i at Mānoa,United States,40.6,43.4,75.7,67.8,76.7,60.839999999999996,289
Queen’s University,Canada,35.0,36.4,76.2,79.8,76.3,60.74000000000001,290
University of Iowa,United States,46.5,33.2,78.0,91.5,54.3,60.7,291
Flinders University,Australia,27.2,37.3,78.9,71.6,88.3,60.660000000000004,292
University of Padua,Italy,45.6,39.9,82.3,80.7,54.5,60.6,293
South China University of Technology,China,36.4,38.0,84.3,99.5,44.6,60.56,294
Xi’an Jiaotong University,China,45.6,49.1,74.0,99.9,34.0,60.52,295
Tel Aviv University,Israel,40.4,49.1,79.5,78.7,54.9,60.519999999999996,296
Kyushu University,Japan,53.8,47.6,53.3,98.5,49.2,60.48,297
Johannes Gutenberg University of Mainz,Germany,38.7,33.2,81.8,82.9,65.7,60.46,298
University of Utah,United States,44.0,39.0,89.0,88.5,41.6,60.42,299
University of Rome II – Tor Vergata,Italy,40.0,36.4,72.1,85.5,67.8,60.36,300
University of Illinois Chicago,United States,49.5,34.9,79.8,77.4,60.1,60.339999999999996,301
"University of California, Riverside",United States,37.0,34.8,83.9,69.8,76.1,60.32000000000001,302
Stony Brook University,United States,44.0,31.7,81.4,68.0,76.4,60.3,303
University of East Anglia,United Kingdom,31.5,31.3,90.1,59.7,88.8,60.279999999999994,304
University of Malaya,Malaysia,45.5,36.7,69.2,60.8,88.9,60.220000000000006,305
"Birkbeck, University of London",United Kingdom,34.7,32.2,77.8,64.6,91.6,60.17999999999999,306
University of Victoria,Canada,29.6,37.1,81.7,65.8,86.5,60.14,307
Indian Institute of Science,India,61.4,56.6,53.7,97.3,31.6,60.120000000000005,308
Southeast University,China,37.6,45.4,71.4,99.3,46.3,60.0,309
Sun Yat-sen University,China,47.1,38.1,83.7,93.7,37.1,59.94000000000001,310
North Carolina State University,United States,44.9,40.7,71.1,79.5,62.4,59.71999999999999,311
East China Normal University,China,43.9,36.0,78.5,87.2,52.8,59.68000000000001,312
Murdoch University,Australia,24.0,28.2,79.8,71.5,94.5,59.6,313
Beihang University,China,44.1,46.3,71.3,99.9,35.8,59.480000000000004,314
Tampere University,Finland,30.2,38.9,80.4,93.5,53.7,59.339999999999996,315
"China Medical University, Taiwan",Taiwan,26.7,32.5,92.1,93.6,51.3,59.239999999999995,316
Constructor University,Germany,35.3,34.0,49.1,83.7,93.9,59.2,317
University of Bayreuth,Germany,38.9,41.2,66.1,81.7,67.5,59.08,318
Swansea University,United Kingdom,27.6,30.5,89.1,58.4,89.8,59.08,319
Stellenbosch University,South Africa,31.2,40.1,74.6,89.5,59.6,59.0,320
Abu Dhabi University,United Arab Emirates,45.1,39.2,87.4,25.4,97.9,59.0,321
Edith Cowan University,Australia,20.9,26.5,87.5,70.9,88.4,58.84000000000001,322
"St George’s, University of London",United Kingdom,23.0,27.0,95.9,70.7,77.5,58.82000000000001,323
Aston University,United Kingdom,20.4,26.5,86.7,64.2,96.2,58.8,324
Nankai University,China,50.0,32.3,86.4,76.0,49.2,58.779999999999994,325
Rensselaer Polytechnic Institute,United States,35.6,29.6,60.6,90.4,77.5,58.74000000000001,326
King Khalid University,Saudi Arabia,39.0,30.2,74.3,58.5,90.9,58.58,327
University of Johannesburg,South Africa,28.4,36.9,67.6,77.3,82.3,58.5,328
Prince Mohammad Bin Fahd University,Saudi Arabia,39.1,37.3,79.2,46.0,90.9,58.5,329
"Royal Holloway, University of London",United Kingdom,31.1,29.3,72.8,65.0,94.2,58.48,330
Brunel University of London,United Kingdom,24.7,27.9,80.6,60.7,98.3,58.44,331
Memorial University of Newfoundland,Canada,30.3,26.1,64.2,83.7,87.3,58.32000000000001,332
Centrale Nantes,France,41.0,31.3,47.1,85.1,87.1,58.32000000000001,333
Technion Israel Institute of Technology,Israel,40.7,40.8,63.6,74.6,71.8,58.3,334
