2024 RANK,2023 RANK,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,female_student_pct,stats_proportion_of_isr,subjects_offered,University_Name,Master_Country
1300.5,1300.5,L,FO,VH,4,A,4.0,601.0,4.0,601.0,13.8,701.0,2.9,701,1.9,701.0,3.1,701.0,1.4,701.0,10.6,701.0,1.1,701.0,0.0,12130.0,1350.5,0.0,12130.0,22.3,1200.0,11.8,1422.0,41.2,1197.0,22.0,1438.0,32.7,1397.0,21491.0,17.0,8.0,53.0,22.0,"Sociology,Languages, Literature & Linguistics,Law,Business & Management,Archaeology,Chemistry,History, Philosophy & Theology,Education,Economics & Econometrics,Biological Sciences,Accounting & Finance,Politics & International Studies (incl Development Studies),Other Health,Psychology,Art, Performing Arts & Design,Communication & Media Studies",Anadolu University,Turkey
1300.5,1300.5,L,CO,MD,4,B,6.9,601.0,12.3,601.0,5.4,701.0,2.0,701,16.3,648.0,2.7,701.0,1.0,701.0,11.4,701.0,1.0,701.0,0.0,15330.0,1501.0,0.0,15330.0,20.0,1371.0,8.9,1808.0,10.4,1851.0,22.2,1431.0,36.2,1267.0,19692.0,12.2,3.0,49.0,39.0,"Chemical Engineering,Biological Sciences,Physics & Astronomy,Sport Science,General Engineering,Computer Science,Geography,Education,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Economics & Econometrics,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Mathematics & Statistics,Chemistry,Politics & International Studies (incl Development Studies),Sociology,Law,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Archaeology,Business & Management,Accounting & Finance,Languages, Literature & Linguistics",Aoyama Gakuin University,Japan
530.0,675.5,XL,FC,VH,4,A,28.7,305.0,25.9,370.0,3.8,701.0,13.5,667,1.4,701.0,4.0,701.0,75.4,169.0,15.7,532.0,36.6,388.0,22.1,8160.0,900.5,0.0,8160.0,22.3,1201.0,16.8,981.0,66.3,642.0,52.7,759.0,38.1,1187.0,49654.0,18.2,5.0,58.0,28.0,"Law,Electrical & Electronic Engineering,Economics & Econometrics,History, Philosophy & Theology,General Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Archaeology,Biological Sciences,Veterinary Science,Psychology,Sport Science,Chemical Engineering,Art, Performing Arts & Design,Chemistry,Business & Management,Mathematics & Statistics,Languages, Literature & Linguistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Agriculture & Forestry,Communication & Media Studies,Education,Other Health,Accounting & Finance,Physics & Astronomy,Civil Engineering",Aristotle University of Thessaloniki,Greece
446.0,565.5,L,CO,VH,4,A,12.9,601.0,22.8,416.0,10.0,701.0,34.1,400,93.0,164.0,38.3,359.0,50.5,310.0,18.1,463.0,12.3,640.0,25.7,4030.0,450.5,0.0,4030.0,22.2,1206.0,26.5,555.0,82.5,270.0,64.1,563.0,95.2,44.0,12950.0,19.0,25.0,48.0,28.0,"Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Civil Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Psychology,Chemistry,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Computer Science,Electrical & Electronic Engineering,Sociology,Accounting & Finance,Medicine & Dentistry,Business & Management",Aston University,United Kingdom
563.0,675.5,L,FC,MD,5,B,19.7,451.0,57.9,141.0,29.0,533.0,1.7,701,3.3,701.0,2.7,701.0,1.1,701.0,54.6,115.0,1.7,701.0,20.9,10140.0,1100.5,0.0,10140.0,30.8,647.0,10.8,1545.0,52.4,954.0,27.6,1249.0,33.5,1374.0,14168.0,11.1,1.0,52.0,27.0,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Law,Psychology,Physics & Astronomy,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Biological Sciences,Sociology,Accounting & Finance,Art, Performing Arts & Design",Ateneo de Manila University,Philippines
925.5,1100.5,M,FO,VH,5,A,7.4,601.0,33.3,296.0,1.6,701.0,17.7,588,1.7,701.0,3.3,701.0,1.0,701.0,15.7,530.0,4.1,701.0,0.0,8190.0,900.5,0.0,8190.0,18.1,1539.0,23.6,668.0,53.3,939.0,57.8,685.0,44.5,975.0,10477.0,53.7,5.0,45.0,32.0,"Accounting & Finance,Business & Management,Economics & Econometrics,Communication & Media Studies,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Computer Science",Athens University of Economics and Business,Greece
825.5,1100.5,L,CO,VH,4,A,7.2,601.0,8.5,601.0,7.4,701.0,19.0,568,23.9,551.0,7.8,701.0,14.3,610.0,17.4,479.0,53.4,288.0,0.0,5130.0,550.5,0.0,5130.0,36.0,424.0,25.7,582.0,59.6,791.0,69.3,448.0,57.7,629.0,27670.0,18.2,8.0,50.0,31.0,"General Engineering,Languages, Literature & Linguistics,Veterinary Science,Architecture,Sport Science,Geography,Computer Science,Chemistry,Business & Management,Other Health,Civil Engineering,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Agriculture & Forestry,Law,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Physics & Astronomy,Accounting & Finance,Sociology",Auburn University,United States
825.5,900.5,L,CO,VH,3,A,8.3,601.0,10.5,601.0,4.7,701.0,13.5,669,70.2,277.0,43.2,333.0,3.2,701.0,8.1,701.0,4.7,701.0,0.0,4050.0,450.5,0.0,4050.0,16.8,1637.0,25.7,583.0,97.0,28.0,21.9,1441.0,80.7,245.0,23843.0,38.4,14.0,76.0,10.0,"Communication & Media Studies,Other Health,History, Philosophy & Theology,Computer Science,Accounting & Finance,Law,Languages, Literature & Linguistics,Psychology,Mathematics & Statistics,Sport Science,Sociology,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Education",Australian Catholic University,Australia
1100.5,1100.5,L,CO,MD,2,B,10.6,601.0,29.1,336.0,12.4,701.0,1.9,701,2.5,701.0,1.4,701.0,1.1,701.0,9.6,701.0,1.1,701.0,0.0,8260.0,900.5,0.0,8260.0,14.8,1766.0,12.3,1375.0,71.1,534.0,15.7,1896.0,42.2,1046.0,13027.0,16.9,1.0,43.0,27.0,"Biological Sciences,Electrical & Electronic Engineering,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Mathematics & Statistics,Economics & Econometrics,Education,Other Health,Business & Management,Architecture,Languages, Literature & Linguistics,Law,Sociology",BRAC University,Bangladesh
1100.5,1100.5,L,FO,VH,5,A,9.6,601.0,3.2,601.0,33.9,472.0,1.4,701,2.1,701.0,1.7,701.0,1.1,701.0,9.6,701.0,1.0,701.0,0.0,15460.0,1501.0,0.0,15460.0,20.1,1364.0,8.6,1841.0,13.8,1788.0,19.7,1546.0,35.5,1295.0,23684.0,13.2,2.0,66.0,38.0,"Languages, Literature & Linguistics,Civil Engineering,Education,General Engineering,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Chemistry,Archaeology,Physics & Astronomy,Psychology,Agriculture & Forestry,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Biological Sciences,Sociology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance",Baku State University,Azerbaijan
