University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
HUFS - Hankuk University of Foreign Studies,South Korea,,575,,20.6,13.4,23.9,25.8,17.2,52.4,1.6,41.0,85.3,16.3,16267.0,0.06,32.3,45.1,1.0,45.3,5.7,1.3
Lebanese University,Lebanon,801-1000,577,32.7-36.9,20.5,23.7,49.8,42.8,22.3,23.6,2.1,17.7,11.6,14.6,46704.0,0.16,43.3,31.9,2.3,78.8,9.9,2.1
University of Tromsø The Arctic University of Norway,Norway,,577,,20.5,12.1,3.7,25.8,17.2,52.4,8.9,41.0,70.5,16.3,16267.0,0.06,70.4,7.7,42.5,45.3,9.6,21.8
Taipei Medical University,Taiwan,401-500,577,45.4-49.0,20.5,10.3,15.4,47.4,32.6,60.9,17.9,85.1,91.1,8.9,5993.0,0.1,15.1,15.6,1.3,48.5,9.9,9.0
University of Klagenfurt,Austria,501-600,580,41.9-45.3,20.4,5.5,4.3,31.2,19.4,72.4,11.4,48.1,60.2,10.0,3479.0,0.31,95.2,86.6,3.0,87.6,12.0,1.6
Abu Dhabi University,United Arab Emirates,251-300,580,53.1-55.8,20.4,11.5,17.9,40.8,30.0,85.8,12.4,25.5,12.6,10.9,2506.0,0.6,100.0,99.9,1.2,97.8,11.3,1.1
Applied Science University - Bahrain,Bahrain,,582,,20.3,18.2,21.9,25.8,17.2,52.4,1.7,41.0,36.8,16.3,16267.0,0.06,100.0,44.9,1.0,45.3,8.3,8.4
Universidad Católica Andres Bello,Venezuela,,582,,20.3,26.6,67.7,25.8,17.2,52.4,1.0,41.0,3.7,18.4,11406.0,0.02,2.5,2.9,6.95,45.3,29.8,8.4
Universidad Pontificia Comillas,Spain,1501+,582,9.7-22.7,20.3,8.1,65.9,18.3,15.7,26.3,2.3,31.4,39.9,21.0,9765.0,0.07,19.3,5.8,1.0,44.2,45.5,2.0
Sunway University,Malaysia,601-800,586,37.0-41.8,20.2,10.5,44.1,24.7,14.6,71.7,7.2,17.2,52.2,8.1,4350.0,0.14,35.5,24.3,4.4,78.3,9.2,5.4
National Research Tomsk Polytechnic University,Russia,,586,,20.2,9.7,7.5,25.8,17.2,52.4,4.0,41.0,93.9,16.3,16267.0,0.06,8.1,76.6,21.3,45.3,8.1,8.3
Central Queensland University,Australia,501-600,590,41.9-45.3,20.1,8.7,9.5,19.7,26.7,76.0,16.0,39.5,24.0,25.6,12874.0,0.11,98.0,98.1,1.2,65.3,8.3,5.6
Prince Mohammad Bin Fahd university,Saudi Arabia,,590,,20.1,15.4,19.1,25.8,17.2,52.4,20.3,41.0,20.8,11.7,2899.0,0.17,100.0,20.5,1.1,45.3,9.4,1.0
Manchester Metropolitan University,United Kingdom,501-600,590,41.9-45.3,20.1,12.0,13.4,20.5,18.5,77.4,9.8,57.7,8.5,17.4,30985.0,0.19,44.4,40.5,66.6,80.6,14.6,69.3
"Goldsmiths, University of London",United Kingdom,401-500,593,45.4-49.0,20,14.9,6.0,29.2,25.2,75.4,13.6,28.9,14.7,14.5,8780.0,0.38,97.8,92.8,1.2,81.0,17.2,1.8
University of Central Florida,United States,401-500,593,45.4-49.0,20,14.4,37.1,28.5,34.4,74.7,25.7,78.3,2.8,39.1,65269.0,0.04,17.1,4.5,32.1,39.9,11.1,32.7
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,801-1000,595,32.7-36.9,19.9,33.4,24.5,33.4,30.5,37.1,7.7,62.9,9.3,18.7,13154.0,0.02,12.4,1.6,2.4,43.2,28.6,32.7
Università Vita-Salute San Raffaele,Italy,251-300,595,53.1-55.8,19.9,3.1,1.7,34.6,26.9,98.3,39.0,66.8,98.8,13.9,4087.0,0.05,8.3,3.1,3.6,49.8,7.6,1.0
Shenzhen University,China,351-400,595,49.1-51.0,19.9,8.4,2.3,27.8,34.3,85.3,42.6,57.9,55.2,14.0,35736.0,0.01,13.2,1.4,14.3,42.4,17.6,15.8
Imam Abdulrahman Bin Faisal University,Saudi Arabia,601-800,595,37.0-41.8,19.9,7.6,7.1,27.7,13.9,70.6,2.3,20.8,85.9,11.3,23781.0,0.04,98.5,16.5,11.6,75.3,8.1,19.0
Nottingham Trent University,United Kingdom,501-600,595,41.9-45.3,19.9,10.6,20.5,20.7,14.3,84.6,5.2,37.3,10.2,15.4,32545.0,0.21,56.9,61.0,52.1,88.5,13.8,50.6
Universität des Saarlandes,Germany,,600,,19.8,11.1,4.5,25.8,17.2,52.4,8.3,41.0,89.9,16.3,16267.0,0.06,4.9,39.2,39.0,45.3,20.1,2.0
