University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
Indiana University–Purdue University Indianapolis,United States,,951-1000,,,7.7,6.1,25.8,17.2,52.4,17.0,41.0,15.4,16.3,16267.0,0.06,29.4,5.8,2.6,45.3,7.7,8.5
University of Bahrain,Bahrain,,951-1000,,,10.7,7.6,25.8,17.2,52.4,2.1,41.0,7.3,16.3,16267.0,0.06,87.6,11.4,1.3,45.3,6.8,3.0
"Manipal Academy of Higher Education, Manipal, Karnataka, India",India,,951-1000,,,9.6,7.0,25.8,17.2,52.4,4.0,41.0,46.4,16.3,16267.0,0.06,1.7,7.1,13.0,45.3,11.3,1.7
Tecnológico de Costa Rica -TEC,Costa Rica,,951-1000,,,8.4,33.8,25.8,17.2,52.4,1.4,41.0,23.2,14.5,11125.0,0.02,6.8,2.0,1.0,45.3,12.4,1.9
Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,,1001-1200,,,6.5,6.7,25.8,17.2,52.4,1.0,41.0,35.5,16.3,16267.0,0.06,6.7,4.4,1.0,45.3,12.1,1.8
Russian Presidential Academy of National Economy and Public Administration,Russia,1501+,1001-1200,9.7-22.7,,5.2,6.8,26.8,17.1,18.1,1.1,19.4,49.0,10.4,18646.0,0.04,2.0,3.0,1.1,23.2,26.0,1.1
"Arab Academy for Science, Technology and Maritime Transport",Egypt,1201-1500,1001-1200,22.8-28.2,,5.3,5.8,28.1,12.3,32.9,1.5,22.6,32.6,13.9,37942.0,0.1,6.9,26.8,1.1,53.3,11.4,1.1
Universidad de León,Spain,1001-1200,1001-1200,28.3-32.6,,5.7,3.1,23.2,13.6,46.7,3.9,70.3,63.9,12.1,10410.0,0.04,3.5,4.4,4.5,36.5,8.1,8.4
Technical University of Liberec,Czech Republic,1501+,1001-1200,9.7-22.7,,4.3,3.2,21.0,18.9,18.2,4.3,34.5,45.5,13.3,5303.0,0.1,16.4,10.1,1.6,44.2,7.8,1.0
Warsaw University of Life Sciences – SGGW,Poland,1201-1500,1001-1200,22.8-28.2,,6.9,5.0,19.9,11.8,41.6,6.0,23.4,20.2,13.4,15737.0,0.08,2.4,7.7,32.3,34.2,6.3,1.9
Universidad de Lima,Peru,,1001-1200,,,10.3,27.3,25.8,17.2,52.4,1.2,41.0,4.3,16.3,16267.0,0.06,3.4,2.0,1.0,45.3,16.1,1.5
National University of Kyiv-Mohyla Academy,Ukraine,,1001-1200,,,5.2,11.6,25.8,17.2,52.4,1.2,41.0,39.9,16.3,16267.0,0.06,2.2,1.4,1.0,45.3,12.7,1.3
Universidad Nacional de Cuyo,Argentina,,1001-1200,,,12.3,6.2,25.8,17.2,52.4,1.7,41.0,21.1,16.3,16267.0,0.06,1.9,15.3,1.8,45.3,5.1,1.6
University of South Dakota,United States,1001-1200,,28.3-32.6,,10.95,9.5,34.5,15.9,33.6,10.4,36.0,16.85,16.0,6909.0,0.03,13.5,10.25,6.95,29.6,11.8,8.4
Panjab University,India,601-800,1001-1200,37.0-41.8,,6.7,5.9,32.6,16.2,67.9,21.0,39.2,5.6,18.6,19695.0,0.01,13.5,1.8,1.9,23.5,29.8,2.2
University of Pardubice,Czech Republic,1501+,1001-1200,9.7-22.7,,4.8,2.6,21.1,17.7,17.7,3.3,30.0,39.8,13.5,7375.0,0.1,11.5,11.1,1.1,39.8,7.8,1.0
University of Žilina,Slovakia,1001-1200,1001-1200,28.3-32.6,,5.7,1.0,27.7,18.0,48.2,6.2,30.6,56.1,14.0,7154.0,0.03,2.5,2.9,1.2,31.8,13.4,1.1
Université Djillali Liabès de Sidi Bel-Abbès,Algeria,1001-1200,,28.3-32.6,,10.95,9.5,30.6,9.3,46.0,10.4,16.9,16.85,19.7,27917.0,0.01,13.5,10.25,6.95,37.4,11.8,8.4
Sidi Mohamed Ben Abdellah University,Morocco,1001-1200,,28.3-32.6,,10.95,9.5,26.6,11.3,50.6,10.4,16.9,16.85,55.6,95994.0,0.01,13.5,10.25,6.95,25.3,11.8,8.4
Yamaguchi University,Japan,1201-1500,1001-1200,22.8-28.2,,4.0,1.7,28.5,13.4,21.4,4.5,57.3,43.2,10.9,10437.0,0.05,7.0,2.7,1.2,33.4,8.0,1.1
Yarmouk University,Jordan,1201-1500,1001-1200,22.8-28.2,,11.9,14.5,19.9,12.9,41.5,2.5,20.8,2.8,28.3,31177.0,0.11,7.8,13.9,3.9,53.1,28.4,1.1
Baku State University,Azerbaijan,1501+,1001-1200,9.7-22.7,,9.6,3.2,20.1,8.6,13.8,1.4,19.7,33.9,13.2,23684.0,0.02,2.1,1.7,1.1,35.5,9.6,1.0
Banaras Hindu University,India,601-800,1001-1200,37.0-41.8,,12.1,6.5,47.2,16.4,66.4,7.8,26.8,15.9,8.0,12620.0,0.03,1.2,1.6,15.3,25.0,6.3,4.1
Western Michigan University,United States,1001-1200,1001-1200,28.3-32.6,,5.3,3.6,24.0,17.1,39.2,5.8,39.3,10.8,21.3,16486.0,0.08,32.3,10.4,2.2,43.1,17.0,1.9
Université de Toulouse II-Le Mirail,France,,1001-1200,,,10.1,2.6,25.8,17.2,52.4,7.0,41.0,1.2,16.3,16267.0,0.06,28.5,21.6,12.5,45.3,6.7,1.1
Ilmenau University of Technology,Germany,1001-1200,,28.3-32.6,,10.95,9.5,31.0,21.4,32.8,10.4,64.9,16.85,18.4,5224.0,0.31,13.5,10.25,6.95,57.1,11.8,8.4
Bartin University,Turkey,1001-1200,,28.3-32.6,,10.95,9.5,11.1,13.0,69.6,10.4,16.3,16.85,31.8,11828.0,0.11,13.5,10.25,6.95,37.4,11.8,8.4
SWPS University,Poland,1001-1200,,28.3-32.6,,10.95,9.5,12.8,16.4,53.0,10.4,16.2,16.85,39.0,15863.0,0.07,13.5,10.25,6.95,52.7,11.8,8.4
Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,401-500,1001-1200,45.4-49.0,,10.6,4.8,43.4,23.4,65.8,1.4,21.5,14.8,10.5,42107.0,0.03,46.6,2.9,1.8,69.8,5.6,1.0
University of Idaho,United States,,1001-1200,,,3.7,1.4,25.8,17.2,52.4,34.7,41.0,12.2,16.3,16267.0,0.06,5.4,5.0,2.5,45.3,8.3,8.4
Southern Methodist University,United States,,1001-1200,,,5.2,3.8,25.8,17.2,52.4,8.6,41.0,28.0,16.3,16267.0,0.06,13.0,8.8,2.7,45.3,30.5,1.6
Universidad Metropolitana,Venezuela,,1001-1200,,,6.5,14.6,25.8,17.2,52.4,1.1,41.0,5.2,16.3,16267.0,0.06,9.9,1.5,6.95,45.3,41.2,8.4
Taibah University,Saudi Arabia,1001-1200,1001-1200,28.3-32.6,,5.7,2.3,14.4,10.2,54.2,3.2,18.5,4.1,24.4,61471.0,0.02,97.7,2.3,2.4,76.0,4.5,2.1
Urmia University of Technology,Iran,1001-1200,,28.3-32.6,,10.95,9.5,11.4,16.8,59.9,10.4,16.6,16.85,30.7,3193.0,0.0,13.5,10.25,6.95,27.7,11.8,8.4
Teesside University,United Kingdom,1001-1200,,28.3-32.6,,10.95,9.5,19.6,13.1,52.7,10.4,19.7,16.85,19.4,14085.0,0.25,13.5,10.25,6.95,81.0,11.8,8.4
Wakayama Medical University,Japan,1001-1200,,28.3-32.6,,10.95,9.5,33.8,12.7,49.5,10.4,59.1,16.85,4.3,1810.0,0.0,13.5,10.25,6.95,19.6,11.8,8.4
Medical University of Warsaw,Poland,1001-1200,,28.3-32.6,,10.95,9.5,26.5,13.5,43.6,10.4,43.3,16.85,6.4,10068.0,0.08,13.5,10.25,6.95,31.0,11.8,8.4
Meiji University,Japan,1501+,1001-1200,9.7-22.7,,7.4,24.5,16.3,12.1,13.5,1.7,40.8,4.9,34.0,32810.0,0.05,10.1,5.3,1.5,31.4,16.0,1.1
Telkom University,Indonesia,1501+,1001-1200,9.7-22.7,,7.4,9.4,15.0,11.0,28.5,1.4,21.3,27.0,16.8,18956.0,0.03,22.3,3.6,1.0,38.1,10.4,3.4
The Islamia University of Bahawalpur,Pakistan,1001-1200,,28.3-32.6,,10.95,9.5,16.4,11.4,66.7,10.4,18.2,16.85,47.8,64226.0,0.0,13.5,10.25,6.95,48.2,11.8,8.4
Azarbaijan Shahid Madani University,Iran,1001-1200,,28.3-32.6,,10.95,9.5,14.9,15.3,67.9,10.4,19.0,16.85,27.1,7477.0,0.02,13.5,10.25,6.95,27.9,11.8,8.4
Indian Institute of Technology Ropar,India,1001-1200,,28.3-32.6,,10.95,9.5,36.5,18.4,44.7,10.4,27.2,16.85,14.9,2486.0,0.01,13.5,10.25,6.95,23.7,11.8,8.4
The University of the West Indies,Jamaica,1001-1200,,28.3-32.6,,10.95,9.5,19.7,11.8,51.9,10.4,31.5,16.85,16.3,39257.0,0.01,13.5,10.25,6.95,47.3,11.8,8.4
Universidad Industrial de Santander - UIS,Colombia,1501+,1001-1200,9.7-22.7,,10.3,25.2,14.4,12.2,11.6,2.1,31.5,5.2,23.4,21413.0,0.01,4.3,1.3,1.0,38.0,6.4,6.2
Azerbaijan State University of Economics,Azerbaijan,,1001-1200,,,10.1,9.4,25.8,17.2,52.4,1.2,41.0,22.0,10.4,16678.0,0.03,7.0,2.6,1.0,45.3,10.4,1.4
Toyohashi University of Technology (TUT),Japan,1001-1200,,28.3-32.6,,10.95,9.5,28.7,24.0,24.7,10.4,89.8,16.85,10.8,2034.0,0.15,13.5,10.25,6.95,43.5,11.8,8.4
University of Technology of Troyes,France,1001-1200,,28.3-32.6,,10.95,9.5,31.5,11.9,29.1,10.4,42.0,16.85,20.1,3174.0,0.22,13.5,10.25,6.95,74.8,11.8,8.4
Universidad de Talca,Chile,1201-1500,1001-1200,22.8-28.2,,11.0,8.6,17.4,13.7,31.5,5.7,36.7,6.7,15.5,12510.0,0.0,22.5,1.4,3.8,52.3,6.8,7.0
Tallinn University,Estonia,1001-1200,1001-1200,28.3-32.6,,8.7,5.7,24.8,23.0,42.6,6.1,22.1,6.9,9.9,4509.0,0.14,40.0,19.3,9.3,59.3,11.0,1.3
Tomas Bata University in Zlin,Czech Republic,1201-1500,1001-1200,22.8-28.2,,4.4,15.0,18.1,21.0,31.8,5.0,26.1,11.3,20.1,9642.0,0.11,19.5,33.9,1.2,51.3,10.1,1.0
Baylor University,United States,601-800,1001-1200,37.0-41.8,,6.1,16.8,39.2,19.7,61.3,8.3,54.8,11.7,19.0,20859.0,0.06,2.4,3.8,3.5,38.6,12.8,3.8
Leeds Beckett University,United Kingdom,801-1000,1001-1200,32.7-36.9,,4.4,8.0,17.7,16.2,65.0,8.1,49.9,4.4,21.9,20360.0,0.15,35.2,18.0,2.2,67.3,11.5,1.6
Howard University,United States,801-1000,1001-1200,32.7-36.9,,6.5,7.7,48.0,18.8,41.6,3.4,39.8,46.7,9.7,10199.0,0.05,1.1,3.8,2.6,39.3,16.1,1.2
University of Hradec Kralove,Czech Republic,1201-1500,1001-1200,22.8-28.2,,5.0,1.9,19.7,15.2,40.8,4.5,23.5,27.9,12.8,6334.0,0.03,41.4,3.0,3.4,60.4,10.0,1.0
Huaqiao University,China,1001-1200,,28.3-32.6,,10.95,9.5,15.5,14.3,48.1,10.4,28.4,16.85,17.8,33228.0,0.19,13.5,10.25,6.95,70.9,11.8,8.4
Universiti Tun Hussein Onn University of Malaysia,Malaysia,1201-1500,1001-1200,22.8-28.2,,9.1,7.0,22.0,13.5,37.0,7.7,18.5,9.6,16.6,16137.0,0.06,8.0,7.0,5.0,42.1,9.4,11.3
Odessa I.I. Mechnikov National University,Ukraine,,1001-1200,,,4.1,2.6,25.8,17.2,52.4,1.3,41.0,47.7,7.2,5198.0,0.03,1.8,3.6,1.0,45.3,10.5,1.0
University of Bedfordshire,United Kingdom,1001-1200,,28.3-32.6,,10.95,9.5,17.5,14.3,52.4,10.4,25.6,16.85,29.1,13545.0,0.64,13.5,10.25,6.95,83.9,11.8,8.4
Beijing University of Chinese Medicine,China,,1001-1200,,,4.9,1.4,25.8,17.2,52.4,8.2,41.0,35.8,16.3,16267.0,0.06,13.5,9.2,1.0,45.3,5.3,1.0
Beijing Foreign Studies University,China,,1001-1200,,,6.6,2.5,25.8,17.2,52.4,1.5,41.0,27.3,16.3,16267.0,0.06,20.7,28.0,1.0,45.3,7.8,1.0
Mississippi State University,United States,601-800,1001-1200,37.0-41.8,,6.0,5.8,27.3,20.0,58.8,18.4,66.2,6.7,14.6,21181.0,0.04,15.7,3.2,9.2,50.7,10.8,11.7
Universidad Autónoma del Estado de México,Mexico,1501+,1001-1200,9.7-22.7,,21.4,6.5,22.2,9.3,7.7,1.5,17.4,4.9,10.6,66758.0,0.01,3.0,1.1,1.1,26.9,3.9,8.4
Universidad Autónoma de Guadalajara,Mexico,,1001-1200,,,6.5,5.2,25.8,17.2,52.4,1.1,41.0,17.5,16.3,16267.0,0.06,39.4,20.0,1.0,45.3,3.9,8.4
Universidad Autónoma de Nuevo León,Mexico,1501+,1001-1200,9.7-22.7,,15.4,12.5,13.3,9.1,17.1,1.8,19.8,2.2,48.0,132850.0,0.0,3.4,1.1,2.2,33.4,11.5,15.4
Nippon Medical School,Japan,1001-1200,,28.3-32.6,,10.95,9.5,28.5,10.7,57.1,10.4,50.3,16.85,0.9,939.0,0.0,13.5,10.25,6.95,20.5,11.8,8.4
Poznan University of Medical Sciences,Poland,1001-1200,,28.3-32.6,,10.95,9.5,27.1,13.4,41.2,10.4,44.4,16.85,6.0,7296.0,0.11,13.5,10.25,6.95,34.1,11.8,8.4
Ufa State Aviation Technical University,Russia,,1001-1200,,,3.9,2.0,25.8,17.2,52.4,1.5,41.0,51.0,16.3,16267.0,0.06,1.2,2.3,6.95,45.3,8.0,1.2
Tokai University,Japan,1201-1500,1001-1200,22.8-28.2,,11.4,6.4,18.3,12.0,36.5,3.0,46.0,14.4,16.0,28334.0,0.04,6.0,3.1,1.6,30.4,7.8,1.2
Tokushima University,Japan,1201-1500,1001-1200,22.8-28.2,,4.8,1.9,29.2,24.0,24.4,6.6,81.6,66.3,9.7,7482.0,0.02,2.7,2.4,1.2,26.4,9.0,1.0
University of Toledo,United States,601-800,1001-1200,37.0-41.8,,3.8,4.4,35.7,16.7,54.5,21.4,68.8,8.7,17.0,16199.0,0.09,9.6,8.8,5.1,56.7,10.3,8.4
Benha University,Egypt,1001-1200,,28.3-32.6,,10.95,9.5,15.7,9.2,66.5,10.4,18.9,16.85,30.9,110873.0,0.02,13.5,10.25,6.95,49.1,11.8,8.4
Beni-Suef University,Egypt,1001-1200,,28.3-32.6,,10.95,9.5,16.8,9.8,61.1,10.4,19.5,16.85,31.6,85158.0,0.0,13.5,10.25,6.95,51.4,11.8,8.4
University of Wisconsin Milwaukee,United States,,1001-1200,,,8.3,2.7,25.8,17.2,52.4,13.4,41.0,8.8,16.3,16267.0,0.06,6.6,3.9,4.1,45.3,10.2,11.8
Minia University,Egypt,1001-1200,,28.3-32.6,,10.95,9.5,17.2,9.5,66.0,10.4,19.2,16.85,17.7,75399.0,0.01,13.5,10.25,6.95,49.6,11.8,8.4
Saint-Petersburg Mining University,Russia,601-800,1001-1200,37.0-41.8,,3.7,3.1,29.7,16.9,69.3,2.2,50.4,53.9,13.4,8345.0,0.12,19.7,20.6,1.0,43.1,12.0,4.1
Mirpur University of Science and Technology,Pakistan,1001-1200,,28.3-32.6,,10.95,9.5,11.5,9.4,60.0,10.4,15.8,16.85,23.6,8459.0,0.0,13.5,10.25,6.95,48.6,11.8,8.4
Suez University,Egypt,1001-1200,,28.3-32.6,,10.95,9.5,13.0,8.3,70.9,10.4,24.4,16.85,20.3,17744.0,0.02,13.5,10.25,6.95,48.9,11.8,8.4
Bina Nusantara University,Indonesia,,1001-1200,,,11.0,16.1,25.8,17.2,52.4,1.9,41.0,20.6,16.3,16267.0,0.06,25.6,4.5,1.0,45.3,13.8,1.1
Binghamton University SUNY,United States,601-800,1001-1200,37.0-41.8,,6.8,4.8,30.7,22.0,61.1,16.9,62.8,6.2,22.1,18976.0,0.08,8.0,9.9,1.6,42.7,10.8,3.9
Kyoto Institute of Technology,Japan,1201-1500,1001-1200,22.8-28.2,,6.4,4.0,27.2,17.1,15.2,12.9,73.3,16.2,13.8,3943.0,0.06,11.0,7.9,1.0,33.7,7.8,1.1
Kyushu Institute of Technology,Japan,1201-1500,1001-1200,22.8-28.2,,4.7,5.4,26.3,15.6,31.4,23.0,60.3,11.3,16.0,5628.0,0.05,9.0,4.6,1.1,40.8,8.0,1.0
National Institute of Technology Warangal,India,1001-1200,,28.3-32.6,,10.95,9.5,25.1,13.6,50.8,10.4,18.4,16.85,19.8,6643.0,0.05,13.5,10.25,6.95,24.1,11.8,8.4
Universidad Austral de Chile,Chile,1201-1500,1001-1200,22.8-28.2,,15.6,10.7,17.3,14.7,30.2,6.6,30.9,3.5,16.4,18594.0,0.01,16.0,1.9,7.6,51.4,4.7,2.2
University of Tulsa,United States,501-600,1001-1200,41.9-45.3,,2.4,3.0,36.1,17.2,71.9,12.3,52.9,37.8,10.8,4110.0,0.09,5.1,12.2,1.0,44.6,15.4,1.1
Universidad Autónoma Chapingo,Mexico,,1001-1200,,,4.1,2.5,25.8,17.2,52.4,1.4,41.0,73.5,16.3,16267.0,0.06,2.8,1.3,1.0,45.3,6.7,1.6
Universidad Autónoma del Estado de Hidalgo,Mexico,1501+,1001-1200,9.7-22.7,,3.9,7.2,19.2,9.6,11.1,1.4,18.1,43.2,19.5,38732.0,0.0,2.4,1.8,1.0,26.4,7.6,2.6
Birmingham City University,United Kingdom,601-800,1001-1200,37.0-41.8,,5.8,4.6,17.3,11.8,77.8,3.1,23.2,7.6,17.2,24575.0,0.26,43.5,76.5,1.4,81.9,11.3,1.3
University of Urbino Carlo Bo,Italy,1001-1200,,28.3-32.6,,10.95,9.5,15.8,17.8,52.2,10.4,33.1,16.85,39.0,15779.0,0.06,13.5,10.25,6.95,52.5,11.8,8.4
Paul Valéry University Montpellier,France,,1001-1200,,,12.2,2.7,25.8,17.2,52.4,4.6,41.0,2.9,16.3,16267.0,0.06,5.4,34.8,6.6,45.3,6.4,2.4
University of New Hampshire,United States,,1001-1200,,,5.5,4.3,25.8,17.2,52.4,18.7,41.0,11.4,16.3,16267.0,0.06,10.8,3.0,5.7,45.3,10.3,11.6
Universitas Hasanuddin,Indonesia,1501+,1001-1200,9.7-22.7,,12.5,9.5,18.8,11.2,25.8,1.3,27.5,14.5,16.6,38942.0,0.0,4.6,1.2,1.1,19.8,10.2,1.8
University of South Bohemia in České Budějovice,Czech Republic,1001-1200,,28.3-32.6,,10.95,9.5,21.4,18.2,51.0,10.4,19.5,16.85,14.6,9131.0,0.07,13.5,10.25,6.95,53.0,11.8,8.4
University of South Bohemia,Czech Republic,,1001-1200,,,5.5,2.6,25.8,17.2,52.4,4.8,41.0,68.7,16.3,16267.0,0.06,13.5,10.25,5.9,45.3,7.7,1.2
Staffordshire University,United Kingdom,1001-1200,,28.3-32.6,,10.95,9.5,17.9,11.5,48.0,10.4,21.5,16.85,17.6,11085.0,0.12,13.5,10.25,6.95,64.8,11.8,8.4
Rochester Institute of Technology,United States,801-1000,1001-1200,32.7-36.9,,6.2,9.4,22.9,20.2,58.4,7.6,60.7,19.8,16.0,14249.0,0.13,5.0,17.7,7.8,46.3,17.3,1.9
Sathyabama Institute of Science and Technology,India,1201-1500,1001-1200,22.8-28.2,,5.0,6.3,31.2,9.9,35.1,3.9,16.9,29.1,10.6,13406.0,0.05,5.9,4.1,1.1,29.7,8.7,7.5
University of Mazandaran,Iran,1001-1200,,28.3-32.6,,10.95,9.5,27.5,18.9,39.1,10.4,24.7,16.85,32.3,13164.0,0.07,13.5,10.25,6.95,32.1,11.8,8.4
Assiut University,Egypt,1201-1500,1001-1200,22.8-28.2,,11.2,6.9,16.1,10.8,48.0,2.3,22.2,12.3,22.1,99610.0,0.01,15.5,4.0,10.7,52.9,6.9,1.9
Universidad Nacional de la Asunción,Paraguay,,1001-1200,,,5.4,10.2,25.8,17.2,52.4,1.1,41.0,28.6,9.8,53043.0,0.02,1.4,1.8,1.0,45.3,21.5,3.4
Texas State University,United States,1001-1200,,28.3-32.6,,10.95,9.5,17.8,16.0,47.8,10.4,31.6,16.85,20.0,30895.0,0.01,13.5,10.25,6.95,43.9,11.8,8.4
Yerevan State University,Armenia,1501+,1001-1200,9.7-22.7,,7.0,3.0,23.9,8.6,26.8,1.4,16.4,45.4,8.0,13838.0,0.02,5.2,1.6,1.0,38.1,35.2,1.0
Hakim Sabzevari University,Iran,1001-1200,,28.3-32.6,,10.95,9.5,15.3,11.5,61.6,10.4,16.5,16.85,22.8,9464.0,0.03,13.5,10.25,6.95,38.0,11.8,8.4
Sheffield Hallam University,United Kingdom,801-1000,1001-1200,32.7-36.9,,6.5,12.1,19.4,14.4,66.7,4.9,33.1,10.0,17.7,26580.0,0.12,35.0,30.9,6.7,64.0,11.9,2.5
Hamamatsu University School of Medicine,Japan,1001-1200,,28.3-32.6,,10.95,9.5,33.6,18.3,36.9,10.4,58.3,16.85,4.1,1216.0,0.03,13.5,10.25,6.95,24.0,11.8,8.4
Universidad de Monterrey,Mexico,,1001-1200,,,12.2,23.1,25.8,17.2,52.4,1.4,41.0,9.9,17.0,11670.0,0.01,8.6,1.5,1.0,45.3,9.2,1.0
Soonchunhyang University,South Korea,1201-1500,1001-1200,22.8-28.2,,5.0,2.9,19.8,25.4,33.0,7.3,48.2,46.6,21.4,10329.0,0.06,5.7,4.8,1.0,35.0,6.8,1.1
Université de Sousse,Tunisia,1201-1500,1001-1200,22.8-28.2,,3.7,1.1,30.3,10.3,31.4,1.7,19.3,60.7,13.7,25887.0,0.02,1.1,2.1,1.2,40.1,7.9,1.0
University of South Wales,United Kingdom,1001-1200,,28.3-32.6,,10.95,9.5,18.3,11.8,42.0,10.4,56.5,16.85,16.0,15780.0,0.21,13.5,10.25,6.95,77.2,11.8,8.4
Mykolas Romeris University,Lithuania,,1001-1200,,,5.3,9.5,25.8,17.2,52.4,4.2,41.0,14.3,16.3,16267.0,0.06,12.5,27.8,1.0,45.3,21.7,8.4
University of Gujrat,Pakistan,1001-1200,,28.3-32.6,,10.95,9.5,13.4,11.3,69.5,10.4,16.0,16.85,24.7,14741.0,0.0,13.5,10.25,6.95,45.8,11.8,8.4
Bowling Green State University,United States,1001-1200,,28.3-32.6,,10.95,9.5,22.4,13.9,52.7,10.4,40.5,16.85,17.6,15159.0,0.03,13.5,10.25,6.95,28.9,11.8,8.4
Riphah International University,Pakistan,1001-1200,,28.3-32.6,,10.95,9.5,14.2,9.6,67.1,10.4,16.0,16.85,18.4,25073.0,0.0,13.5,10.25,6.95,48.7,11.8,8.4
Shanghai International Studies University,China,,1001-1200,,,5.3,2.5,25.8,17.2,52.4,1.7,41.0,17.6,16.3,16267.0,0.06,28.2,29.6,1.0,45.3,6.8,1.0
Symbiosis International University,India,1001-1200,,28.3-32.6,,10.95,9.5,22.1,12.1,62.7,10.4,18.0,16.85,13.0,16408.0,0.06,13.5,10.25,6.95,40.8,11.8,8.4
University of Ioannina,Greece,1001-1200,1001-1200,28.3-32.6,,6.9,3.7,14.0,12.4,55.9,24.6,47.4,1.4,32.6,32155.0,0.05,1.7,2.7,15.2,43.2,8.4,8.4
Northern Arizona University,United States,,1001-1200,,,6.5,6.0,25.8,17.2,52.4,12.2,41.0,4.8,16.3,16267.0,0.06,2.8,2.4,7.4,45.3,9.1,12.4
University of Arkansas Fayetteville,United States,,1001-1200,,,6.8,4.3,25.8,17.2,52.4,11.9,41.0,6.6,16.3,16267.0,0.06,5.1,3.2,7.1,45.3,15.7,6.2
The University of Texas at Arlington,United States,601-800,1001-1200,37.0-41.8,,5.2,4.7,25.2,20.5,65.5,10.4,62.9,4.7,31.9,40412.0,0.11,2.3,20.5,7.9,55.0,10.0,34.3
BRAC University,Bangladesh,801-1000,1001-1200,32.7-36.9,,10.6,29.1,14.8,12.3,71.1,1.9,15.7,12.4,16.9,13027.0,0.01,2.5,1.4,1.1,42.2,9.6,1.1
Slovak University of Technology in Bratislava,Slovakia,1501+,1001-1200,9.7-22.7,,9.7,7.9,27.6,12.0,22.3,3.6,28.7,34.7,8.5,10678.0,0.07,2.1,2.7,2.6,32.8,18.2,1.4
"ITESO, Universidad Jesuita de Guadalajara",Mexico,,1001-1200,,,6.3,5.5,25.8,17.2,52.4,1.0,41.0,58.8,16.3,16267.0,0.06,2.5,1.5,1.0,45.3,6.6,8.4
Multimedia University,Malaysia,1201-1500,1001-1200,22.8-28.2,,8.8,17.6,19.5,13.0,29.0,5.8,62.2,11.6,16.3,8893.0,0.09,16.3,23.5,1.3,41.2,9.1,1.3
Mustansiriyah University,Iraq,1501+,1001-1200,9.7-22.7,,3.7,5.3,25.3,8.4,16.0,1.3,19.1,43.7,6.5,30964.0,0.01,33.0,4.0,1.0,32.5,9.3,1.0
Mutah University,Jordan,1201-1500,1001-1200,22.8-28.2,,7.6,8.9,29.7,11.5,27.6,1.7,20.9,10.1,15.5,11348.0,0.18,10.1,43.6,1.0,61.2,8.7,1.7
GLA University,India,1001-1200,,28.3-32.6,,10.95,9.5,16.8,10.6,63.9,10.4,16.0,16.85,16.8,10719.0,0.0,13.5,10.25,6.95,20.9,11.8,8.4
Brigham Young University,United States,,1001-1200,,,7.0,5.3,25.8,17.2,52.4,13.3,41.0,4.6,16.3,16267.0,0.06,1.3,3.3,8.2,45.3,22.0,7.0
Kazakh-British Technical University,Kazakhstan,,1001-1200,,,13.1,22.6,25.8,17.2,52.4,1.4,41.0,20.0,27.6,5178.0,0.02,5.3,2.1,1.0,45.3,12.2,1.0
Universität Siegen,Germany,601-800,1001-1200,37.0-41.8,,4.7,1.9,27.4,26.9,60.7,6.5,46.2,9.7,29.9,13856.0,0.13,52.4,29.1,5.7,62.7,8.9,1.3
Universidad Peruana de Ciencias Aplicadas,Peru,1501+,1001-1200,9.7-22.7,,10.7,25.8,13.5,8.7,10.1,1.1,15.6,3.3,21.1,56595.0,0.01,16.6,1.8,1.0,26.5,9.9,1.3
University of Applied Sciences and Arts of Western Switzerland,Switzerland,1001-1200,,28.3-32.6,,10.95,9.5,24.0,13.1,38.3,10.4,33.8,16.85,6.5,17933.0,0.29,13.5,10.25,6.95,87.4,11.8,8.4
University of Isfahan,Iran,1001-1200,,28.3-32.6,,10.95,9.5,30.4,16.8,40.9,10.4,26.2,16.85,24.0,17182.0,0.08,13.5,10.25,6.95,35.5,11.8,8.4
University of Rhode Island,United States,601-800,1001-1200,37.0-41.8,,5.6,2.8,26.3,20.5,57.4,16.7,50.0,6.9,14.5,15886.0,0.03,5.1,2.7,3.3,53.7,12.7,58.6
Vancouver Island University,Canada,,1001-1200,,,5.0,3.3,25.8,17.2,52.4,1.1,41.0,58.0,16.3,16267.0,0.06,13.5,10.25,1.1,45.3,6.8,8.4
Universitas Sebelas Maret,Indonesia,1201-1500,1001-1200,22.8-28.2,,10.7,11.5,19.3,19.3,33.9,1.5,48.3,13.6,16.9,27580.0,0.02,10.3,2.0,1.0,33.3,7.5,7.0
Shanghai Maritime University,China,1001-1200,,28.3-32.6,,10.95,9.5,16.8,12.8,51.8,10.4,37.4,16.85,16.7,23263.0,0.02,13.5,10.25,6.95,36.0,11.8,8.4
Silesian University of Technology,Poland,1201-1500,1001-1200,22.8-28.2,,6.5,3.6,21.8,15.6,39.4,6.2,31.5,27.7,12.0,17424.0,0.04,2.4,4.4,9.0,26.6,11.1,1.4
